Country,Year,CBR,CDR,NetMigrations,CNMR,TPopulation1July,TFR,NetMigrations_smooth,D_UN,D_Y_UN,D_R_UN,D_UN_alt,D_Y_UN_alt,D_R_UN_alt,N_Y,N_M1,N_M2,N_R,FAT_Y,FAT_M1,FAT_M2,FAT_R,mu_Y,mu_M1,mu_M2,mu_R,MY,nu_t,N,p_y,p_m1,p_m2
Italy,1950,19.676,9.747,-27.539,-0.594,46391.673,2.5233,-27.539,76.829,62.521,14.308,67.393,59.185,8.208,16402.655000000002,17208.739,9026.5625,3753.716999999999,86.817,41.620000000000005,89.035000000000025,234.695,NA,NA,NA,NA,0.5245336395653394,0.019676,46391.6735,NA,NA,NA
Italy,1951,18.551,10.292,-98.764,-2.113,46751.899,2.3762,-98.764,76.072,61.612,14.459,66.58,58.291,8.289,16359.752499999997,17339.27,9213.494500000003,3839.382000000002,83.354,41.450000000000045,93.49699999999996,262.88,0.005081738291758254,0.002408659925634298,0.010357985113380644,0.07003191769651257,0.531365766840242,0.018550999999999998,46751.899000000005,0.050001687842517274,0.03192653657531259,0.029799431965214472
Italy,1952,18.074,10.095,-129.937,-2.764,47018.18,2.3231,-129.937,75.322,60.708,14.614,65.79,57.408,8.382,16280.904999999999,17413.937,9404.254,3919.0835,78.111,37.313499999999976,93.3315,265.904,0.004774583234067876,0.0021519648751071973,0.010129869833861624,0.06925697937845202,0.5400418067436444,0.018074000000000003,47018.179500000006,0.051695789561975146,0.03482342812159874,0.03470147212070239
Italy,1953,17.767,9.965,170.309,3.592,47410.885,2.285,-129.937,74.485,59.694,14.791,64.886,56.41,8.477,16219.8695,17533.204,9638.708999999999,4019.102499999999,70.222,35.67650000000003,93.97249999999997,272.571,0.0043131508967099805,0.0020487325755226995,0.009992552306647605,0.06954967915330204,0.5497403098714871,0.017766999999999998,47410.885,0.05074567385391034,0.04832629147426558,0.054562913249312485
Italy,1954,18.349,9.249,-132.801,-2.776,47832.235,2.3488,-132.801,73.834,58.813,15.02,64.166,55.543,8.624,16183.1465,17622.002500000002,9894.056999999999,4133.028999999999,65.67,34.581500000000005,90.3365,251.812,0.004048737876713496,0.0019723434461835954,0.009372261368197755,0.0626537889989121,0.5614604242622254,0.018349,47832.235,0.05184969761100737,0.03335467544123724,0.024809321338055048
Italy,1955,18.249,9.277,-137.146,-2.849,48130.818,2.3429,-137.146,73.428,58.148,15.28,63.725,54.895,8.83,16137.705999999996,17626.396000000004,10126.209,4240.507,62.109,34.446500000000015,91.33749999999998,258.605,0.0038378815887256533,0.001954743792596784,0.009231551829547777,0.06257033279950373,0.5744911778902504,0.018248999999999998,48130.818,0.05290824973468556,0.03860151288226182,0.0360566405181412
Italy,1956,18.274,10.284,-139.157,-2.875,48401.952,2.3507,-139.157,73.117,57.655,15.463,63.38,54.412,8.968,16119.684,17604.173000000003,10354.8745,4323.22,59.693,34.09649999999999,100.79050000000001,303.17,0.0036989767938516173,0.0019343999760359396,0.009953428770826278,0.07149380958456147,0.5882056771425729,0.018274000000000002,48401.9515,0.051920116039541025,0.03896661961594428,0.03529307642494873
Italy,1957,18.233,9.947,-140.591,-2.889,48657.034,2.3484,-140.591,72.936,57.298,15.638,63.156,54.057,9.098,16121.2825,17559.147500000003,10576.765000000001,4399.839000000001,62.407,34.712000000000046,101.12699999999995,285.744,0.0038714778776060372,0.0019718052077765903,0.00976612512300366,0.06609517905635152,0.6023507120718702,0.018233,48657.034,0.05077688133957836,0.039094695428152255,0.035269600003312425
Italy,1958,18.026,9.349,-146.971,-3.004,48927.099,2.326,-146.971,72.688,56.816,15.873,62.893,53.593,9.3,16097.319000000001,17523.329499999996,10809.255000000001,4497.195500000002,58.691,32.24250000000001,95.13549999999998,271.345,0.00364059124948651,0.0018362224020272056,0.008994763521738449,0.06167157480080521,0.6168493835603561,0.018026,48927.099,0.05225168623426824,0.03980652790142588,0.0351093358776528
Italy,1959,18.423,9.232,-145.199,-2.95,49219.446,2.3872,-145.199,72.384,56.255,16.129,62.59,53.059,9.531,16062.103,17521.0075,11031.214000000002,4605.121,57.023,32.31299999999999,95.46199999999999,269.617,0.003542391127367234,0.0018439988816052334,0.008831505964102057,0.05995225246489727,0.6295992967299399,0.018423,49219.445499999994,0.054641207326325617,0.040197095242487935,0.035799501896939055
