Country,Year,Expenditure_Total,Expenditure_Interest,Expenditure_Subsidies,Expenditure_Social_Households,Expenditure_Social_Markets,Expenditure_Consumption_Intmd,Expenditure_Compensation_Employees,Expenditure_Other_Curr,Expenditure_Capital_Formation,Expenditure_Capital_Exp_Others
Germany,1960-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1961-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1962-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1963-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1964-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1965-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1966-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1967-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1968-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1969-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1970-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1971-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1972-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1973-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1974-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1975-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1976-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1977-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1978-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1979-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1980-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
