Country,Year,Revenue_Total,Expenditure_Total,Expenditure_Interest,Total_Debt,SFA,IR,Surplus,Primary_Surplus
France,1960-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1961-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1962-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1963-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1964-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1965-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1966-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1967-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1968-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1969-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1970-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1971-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1972-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1973-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1974-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1975-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1976-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1977-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1978-01-01,151.298,157.562,3.597,NA,NA,NA,-6.26400000000001,-2.66700000000001
France,1979-01-01,179.153,181.073,4.513,NA,NA,NA,-1.920000000000016,2.592999999999984
France,1980-01-01,207.706,209.642,5.508,NA,NA,NA,-1.936000000000007,3.571999999999993
France,1981-01-01,237.397,249.675,8.669,NA,NA,NA,-12.27800000000002,-3.6090000000000195
France,1982-01-01,277.762,294.386,10.253,NA,NA,NA,-16.624000000000024,-6.3710000000000235
France,1983-01-01,313.57,330.098,14.355,NA,NA,NA,-16.52800000000002,-2.1730000000000196
France,1984-01-01,346.004,365.348,16.485,NA,NA,NA,-19.343999999999994,-2.8589999999999947
France,1985-01-01,373.838,396.36,19.144,NA,NA,NA,-22.52199999999999,-3.377999999999993
France,1986-01-01,396.741,422.787,20.811,NA,NA,NA,-26.045999999999992,-5.234999999999992
France,1987-01-01,422.038,439.28,21.082,NA,NA,NA,-17.241999999999962,3.840000000000039
France,1988-01-01,444.837,468.563,21.927,NA,NA,NA,-23.726,-1.7989999999999995
France,1989-01-01,475.534,493.305,24.456,NA,NA,NA,-17.771000000000015,6.6849999999999845
France,1990-01-01,502.524,528.166,28.115,NA,NA,NA,-25.642000000000053,2.4729999999999457
France,1991-01-01,528.479,559.735,30.544,NA,NA,NA,-31.255999999999972,-0.7119999999999713
France,1992-01-01,542.759,594.798,33.664,NA,NA,NA,-52.03899999999999,-18.374999999999986
France,1993-01-01,557.876,630.501,36.759,NA,NA,NA,-72.625,-35.866
France,1994-01-01,580.523,644.506,39.168,NA,NA,NA,-63.98299999999995,-24.814999999999948
France,1995-01-01,618.332,680.37,41.9826,701.6,NA,NA,-62.03800000000001,-20.055400000000013
France,1996-01-01,649.94,698.524,45.0734,755.6,5.36,6.4240222,-48.583999999999946,-3.510599999999947
France,1997-01-01,668.781,716.647,45.7963,799.4,-4.07,6.0610404,-47.8660000000001,-2.069700000000097
France,1998-01-01,694.521,726.716,45.5858,836.1,4.49,5.7026531,-32.19500000000005,13.390799999999949
France,1999-01-01,727.045,748.589,42.9433,856.9,-0.66,5.1363934,-21.544000000000096,21.399299999999904
France,2000-01-01,756.007,775.349,43.6059,880,3.72,5.0885385,-19.342000000000098,24.2638999999999
France,2001-01-01,786.539,808.226,46.7064,907.7,5.98,5.3075165,-21.687000000000012,25.01939999999999
France,2002-01-01,800.987,851.107,47.7935,966.8,9.03,5.2654999,-50.120000000000005,-2.326500000000003
France,2003-01-01,815.469,881.786,46.6581,1060.4,27.27,4.825922,-66.3169999999999,-19.658899999999896
France,2004-01-01,855.607,915.906,47.5106,1134.3,13.64,4.4804143,-60.29899999999998,-12.788399999999982
France,2005-01-01,894.341,956.143,47.8451,1201.5,5.32,4.2178543,-61.80200000000002,-13.956900000000019
France,2006-01-01,943.178,992.241,48.0601,1207.3,-43.22,4.0001059,-49.06299999999999,-1.0028999999999897
France,2007-01-01,981.352,1039.288,52.0952,1268.9,3.61,4.3149716,-57.936000000000035,-5.840800000000037
France,2008-01-01,1010.53,1080.221,57.1693,1389.4,50.85,4.5055687,-69.69100000000003,-12.521700000000031
France,2009-01-01,979.773,1122.607,49.2815,1627.2,94.95,3.5469586,-142.83399999999995,-93.55249999999995
France,2010-01-01,1009.201,1151.962,50.7079,1722.2,-47.77,3.1163013,-142.76099999999997,-92.05309999999997
France,2011-01-01,1066.319,1175.705,55.9957,1830.1,-1.42,3.2514577,-109.38599999999997,-53.39029999999997
France,2012-01-01,1100.966,1208.953,54.9408,1915.8,-22.29,3.0020059,-107.98700000000008,-53.04620000000008
France,2013-01-01,1137.646,1242.358,49.426,2004.7,-15.84,2.579867,-104.71199999999999,-55.28599999999999
France,2014-01-01,1159.145,1257.649,47.3158,2070.6,-32.63,2.360239,-98.5039999999999,-51.1881999999999
France,2015-01-01,1182.327,1268.008,44.7074,2134.1,-22.19,2.1591735,-85.68100000000004,-40.97360000000004
