Country,Year,Expenditure_Total,Expenditure_Interest,Expenditure_Subsidies,Expenditure_Social_Households,Expenditure_Social_Markets,Expenditure_Consumption_Intmd,Expenditure_Compensation_Employees,Expenditure_Other_Curr,Expenditure_Capital_Formation,Expenditure_Capital_Exp_Others
France,1960-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1961-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1962-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1963-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1964-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1965-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1966-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1967-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1968-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1969-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1970-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1971-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1972-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1973-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1974-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1975-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1976-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1977-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1978-01-01,157.562,3.597,6.829,51.39,10.943,17.604,43.081,7.402,13.894,2.822
France,1979-01-01,181.073,4.513,7.858,58.892,12.645,19.486,48.945,8.671,16.003,4.06
France,1980-01-01,209.642,5.508,8.733,68.261,14.834,23.254,56.622,9.422,18.658,4.35
France,1981-01-01,249.675,8.669,10.659,81.407,18.304,26.243,65.512,11.801,21.87,5.21
France,1982-01-01,294.386,10.253,12.479,97.066,21.278,30.47,77.17,14.389,25.958,5.323
France,1983-01-01,330.098,14.355,13.932,108.659,23.607,34.502,85.954,16.218,27.363,5.508
France,1984-01-01,365.348,16.485,17.912,119.43,26.859,37.063,93.871,18.117,29.499,6.112
France,1985-01-01,396.36,19.144,18.033,129.577,30.553,39.676,100.362,19.371,32.735,6.909
France,1986-01-01,422.787,20.811,19.899,137.816,33.406,41.022,106.756,20.631,34.862,7.584
France,1987-01-01,439.28,21.082,19.804,142.586,34.973,44.142,109.654,22.002,37.436,7.601
France,1988-01-01,468.563,21.927,17.87,151.491,38.347,47.741,113.804,25.394,42.504,9.485
France,1989-01-01,493.305,24.456,17.451,160.34,40.947,48.644,119.424,26.255,45.643,10.145
France,1990-01-01,528.166,28.115,17.711,170.449,43.78,51.82,126.065,28.222,48.616,13.388
France,1991-01-01,559.735,30.544,17.609,181.427,46.622,55.481,132.619,32.544,51.99,10.899
France,1992-01-01,594.798,33.664,17.639,192.382,48.868,60.338,140.733,35.542,53.413,12.219
France,1993-01-01,630.501,36.759,18.414,203.121,52.155,65.66,148.514,36.883,52.24,16.755
France,1994-01-01,644.506,39.168,17.93,209.251,53.711,62.779,154.054,39.407,52.766,15.44
France,1995-01-01,680.37,41.9826,18.3715,215.0783,56.9941,66.3112,164.0882,38.4231,56.2767,22.8447
France,1996-01-01,698.524,45.0734,19.1153,222.0727,59.8868,70.9614,170.4274,38.9855,57.017,14.984
France,1997-01-01,716.647,45.7963,18.6123,230.2976,62.3621,73.933,174.5847,39.9466,54.1127,17.0014
France,1998-01-01,726.716,45.5858,19.0987,235.6063,65.0047,69.153,179.3384,41.7445,54.6516,16.5331
France,1999-01-01,748.589,42.9433,19.9372,242.0661,68.1518,70.9501,186.1449,42.256100000000004,57.5672,18.5723
France,2000-01-01,775.349,43.6059,19.7648,247.6518,71.5259,75.8425,194.0228,44.6147,63.0783,15.242
France,2001-01-01,808.226,46.7064,21.9844,258.9207,75.9464,75.8916,200.0522,47.6156,64.2162,16.8921
France,2002-01-01,851.107,47.7935,25.1823,271.7581,82.0364,81.4267,209.1696,50.2197,64.688,18.8331
France,2003-01-01,881.786,46.6581,25.0005,282.7998,88.9838,82.1438,216.534,53.7669,69.1623,16.7364
France,2004-01-01,915.906,47.5106,24.2959,295.514,94.5499,86.7766,221.3539,53.9902,73.6161,18.2992
