Country,Year,Revenue_Total,Revenue_Taxes_Indirect,Revenue_Taxes_Direct,Revenue_Social_Contribution,Revenue_Capital_Transfers,Revenue_Others
France,1960-01-01,NA,NA,NA,NA,NA,NA
France,1961-01-01,NA,NA,NA,NA,NA,NA
France,1962-01-01,NA,NA,NA,NA,NA,NA
France,1963-01-01,NA,NA,NA,NA,NA,NA
France,1964-01-01,NA,NA,NA,NA,NA,NA
France,1965-01-01,NA,NA,NA,NA,NA,NA
France,1966-01-01,NA,NA,NA,NA,NA,NA
France,1967-01-01,NA,NA,NA,NA,NA,NA
France,1968-01-01,NA,NA,NA,NA,NA,NA
France,1969-01-01,NA,NA,NA,NA,NA,NA
France,1970-01-01,NA,NA,NA,NA,NA,NA
France,1971-01-01,NA,NA,NA,NA,NA,NA
France,1972-01-01,NA,NA,NA,NA,NA,NA
France,1973-01-01,NA,NA,NA,NA,NA,NA
France,1974-01-01,NA,NA,NA,NA,NA,NA
France,1975-01-01,NA,NA,NA,NA,NA,NA
France,1976-01-01,NA,NA,NA,NA,NA,NA
France,1977-01-01,NA,NA,NA,NA,NA,NA
France,1978-01-01,151.298,50.799,23.21,60.78,0.007,16.502
France,1979-01-01,179.153,60.54,27.538,73.168,-0.558,18.465
France,1980-01-01,207.706,67.465,33.276,84.936,0.069,21.96
France,1981-01-01,237.397,76.695,38.332,95.532,0.295,26.543
France,1982-01-01,277.762,89.653,44.984,112.922,-1.622,31.825
France,1983-01-01,313.57,99.364,50.455,127.641,-0.208,36.318
France,1984-01-01,346.004,110.23,56.472,141.41,-1.543,39.435
France,1985-01-01,373.838,118.81,59.598,151.277,0.275,43.878
France,1986-01-01,396.741,125.931,64.004,159.056,0.773,46.977
France,1987-01-01,422.038,133.945,67.876,169.154,3.031,48.032
France,1988-01-01,444.837,142.296,70.12,180.354,2.229,49.838
France,1989-01-01,475.534,148.825,75.934,195.109,2.347,53.319
France,1990-01-01,502.524,156.657,82.113,206.764,0.239,56.751
France,1991-01-01,528.479,160.878,86.646,214.376,3.252,63.327
France,1992-01-01,542.759,164.167,87.218,225.082,1.292,65
France,1993-01-01,557.876,170.02,89.647,229.708,1.489,67.012
France,1994-01-01,580.523,181.709,94.577,235.316,2.706,66.215
France,1995-01-01,618.332,191.1726,97.8122,242.4783,7.6625,79.2061
France,1996-01-01,649.94,203.1641,107.0981,250.9624,6.3851,82.3298
France,1997-01-01,668.781,210.056,117.7224,253.2336,6.0307,81.7387
France,1998-01-01,694.521,217.9758,151.6585,236.7719,6.1742,81.941
France,1999-01-01,727.045,225.1531,164.8119,247.8099,6.9087,82.3611
France,2000-01-01,756.007,228.6921,174.235,257.7484,7.7635,87.5675
France,2001-01-01,786.539,231.4058,185.3186,267.826,6.804,95.1846
France,2002-01-01,800.987,239.3311,178.1055,278.1127,7.5468,97.8904
France,2003-01-01,815.469,244.8831,177.6455,290.1855,8.9359,93.8186
France,2004-01-01,855.607,258.8919,187.9567,299.102,10.6635,98.9925
France,2005-01-01,894.341,270.9405,198.8579,310.6986,9.6242,104.2199
France,2006-01-01,943.178,281.529,217.1415,327.2044,7.5837,109.7196
France,2007-01-01,981.352,291.8699,226.0171,339.5622,7.3827,116.52
France,2008-01-01,1010.53,295.2,235.552,349.0107,7.5121,123.2556
France,2009-01-01,979.773,290.8671,205.2234,352.6067,7.6099,123.4663
France,2010-01-01,1009.201,294.7851,222.0979,360.249,5.0915,126.9778
France,2011-01-01,1066.319,312.1211,239.7767,374.6411,8.9738,130.8065
France,2012-01-01,1100.966,321.2631,258.7105,385.6016,7.1726,128.2181
France,2013-01-01,1137.646,330.661,270.6396,397.3552,7.8803,131.1101
France,2014-01-01,1159.145,338.98,272.4581,407.2368,8.436,132.0342
France,2015-01-01,1182.327,349.757,278.5416,411.4915,10.014,132.5227
France,2016-01-01,1196.623,358.248,278.5872,416.5228,9.9705,133.2944
France,2017-01-01,1244.387,374.586,293.92380000000003,429.0751,12.5487,134.2533
France,2018-01-01,1273.016,389.537,311.4604,422.9873,13.6874,135.344
France,2019-01-01,1287.929,409.021,318.194,406.074,16.025,138.6152
France,2020-01-01,1223.273,390.305,306.198,390.712,9.044,127.0136
France,2021-01-01,1326.275,416.396,324.072,417.675,23.85,144.2818
France,2022-01-01,1424.97,441.198,359.122,442.264,28.076,154.3095
France,2023-01-01,1455.038,443.463,357.272,462.272,28.909,163.122
France,2024-01-01,1496.94,457.0638,366.0771,479.5087,26.79002,167.5001
France,2025-01-01,1559.014,475.1046,383.6715,499.3063,27.14582,173.7856
France,2026-01-01,1599.105,490.3355,397.9196,510.1599,24.16541,176.5243
