Country,Year,GDP,GDP_r,GDPPOT,Deflator,pi,GDP_alt,Deflator_alt
France,1955,NA,NA,NA,NA,NA,NA,NA
France,1956,NA,NA,NA,NA,NA,NA,NA
France,1957,NA,NA,NA,NA,NA,NA,NA
France,1958,NA,NA,NA,NA,NA,NA,NA
France,1959,NA,NA,NA,NA,NA,NA,NA
France,1960,46.373,460.498,NA,10.070184886796469,NA,NA,9.57143118247985
France,1961,50.276,483.276,NA,10.403165065097378,0.03253102630935523,NA,9.81371121795466
France,1962,56.346,516.41,NA,10.91109777115083,0.047670322390351405,NA,10.3127712407076
France,1963,63.167,547.929,NA,11.52831845001816,0.055026066942891916,NA,10.9562402067071
France,1964,70.059,583.998,NA,11.996445193305455,0.039803889647800794,NA,11.4028092106752
France,1965,75.67,612.256,615.142,12.359209219672817,0.029791098981067687,NA,11.7535251218877
France,1966,82.011,643.87,646.966,12.737198502803361,0.030125257231895297,NA,12.1052076580985
France,1967,88.664,674.787,680.025,13.13955366656441,0.031100316718774668,NA,12.5000863506033
France,1968,96.722,705.45,714.44,13.710681125522713,0.0425481283255551,NA,13.0758083992978
France,1969,111.261,755.492,750.922,14.726959385407127,0.07150461263999963,NA,14.053231576408
France,1970,124.462,802.333,789.425,15.512511637935871,0.05196711485183858,NA,14.8767661807983
France,1971,138.813,844.804,828.822,16.431385268062176,0.05754634106807499,NA,15.832902401822
France,1972,154.948,882.94,867.847,17.549097333907174,0.06580927279563209,NA,16.9442035540614
France,1973,177.73,937.635,908.428,18.95513712692039,0.07707246865873119,NA,18.4570736669227
France,1974,207.308,979.028,948.563,21.17487957443505,0.11074057008178428,NA,20.8648251120817
France,1975,233.556,969.771,985.593,24.083623865840497,0.12871654852096714,NA,23.5092965287431
France,1976,269.931,1011.835,1022.527,26.67737328714662,0.10228366180972559,NA,26.0894795424507
France,1977,303.79,1047.797,1058.047,28.99321147130599,0.08324595169253657,NA,28.4941719283194
France,1978,345.186,1089.178,1092.532,31.692340462256855,0.08901331050326089,NA,31.289785655058
France,1979,394.491,1129.427,1126.053,34.92841945517506,0.09722578298285933,NA,34.5683421106726
France,1980,447.416,1148.361,1157.314,38.96126740632954,0.10926720033493309,451.77,38.548568161832
France,1981,504.71,1162.007,1181.855,43.43433387234328,0.10868222219016621,509.9852,43.0559040802172
France,1982,579.251,1190.389,1203.152,48.66064790585263,0.1136204208259941,585.9894,48.2634910034343
France,1983,642.945,1205.413,1221.596,53.33815049281865,0.0917811920026459,650.5125,52.9212005207481
France,1984,699.502,1224.813,1240.454,57.11092223874174,0.06834353678242922,707.0296,56.6613924937866
France,1985,749.583,1244.032,1262.602,60.254318216894745,0.053578860442446086,757.6897,59.7515822325777
France,1986,807.707,1273.758,1290.104,63.411338731532986,0.05106844834620361,814.5969,62.771995076857
France,1987,848.788,1306.274,1322.796,64.97779179559572,0.024402857033435588,855.9824,64.3135804983145
France,1988,917.933,1369.161,1359.989,67.04346676541327,0.03129561989958418,925.2149,66.3677070048562
France,1989,988.884,1429.475,1399.244,69.1781248360412,0.031343530831205335,997.1207,68.5483055530683
France,1990,1043.975,1469.923,1438.752,71.02242770539681,0.026311012772723963,1053.546,70.3698775045286
France,1991,1082.833,1488.101,1476.806,72.76609584967687,0.024254420037174818,1091.7054,72.1623716350139
France,1992,1121.458,1510.662,1512.956,74.23619578701258,0.020001714699475315,1130.984,73.5820044195607
France,1993,1134.839,1505.239,1545.539,75.39261207024266,0.015457441987985376,1142.1187,74.7766831089367
France,1994,1172.96,1541.119,1578.199,76.11092978543513,0.009482591482056435,1179.8667,75.4684910549296
France,1995,1213.802,1576.638,1610.605,76.98672745424125,0.011441157729979778,1218.2724,76.3175549781858
France,1996,1246.974,1598.665,1642.966,78.00095704853737,0.01308806019535691,1252.2658,77.3540837421083
France,1997,1289.669,1639.064,1676.766,78.68326069024761,0.008709338622943541,1292.7765,78.033599061994
France,1998,1346.318,1695.655,1712.369,79.39810869545987,0.009044112922661718,1351.8957,78.7753336806395
France,1999,1395.148,1753.295,1749.847,79.57291841931904,0.002199266086297058,1400.9995,78.9357257381259
France,2000,1473.517,1825.899,1788.18,80.70090404781426,0.014075963689037962,1478.5865,80.1620179902807
France,2001,1530.071,1860.581,1824.138,82.23619396306852,0.01884574321567012,1538.1981,81.7718129689655
France,2002,1578.33,1880.448,1857.9,83.93372217684296,0.020431944693633852,1587.8277,83.4624118742832
France,2003,1622.313,1898.647,1892.458,85.445741098793,0.017854101765174768,1630.667,85.014180939848
France,2004,1696.108,1953.105,1929.381,86.8416188581771,0.01620441922266913,1704.0188,86.393466127814
France,2005,1762.048,1989.991,1966.899,88.54552608529384,0.01943085210318607,1765.9046,88.0662644078023
France,2006,1846.021,2044,2004.059,90.31413894324854,0.0197771868219494,1848.1519,89.9643034196752
France,2007,1937.876,2095.724,2040.685,92.46809217244255,0.023569609911928247,1941.3598,92.2642202771164
France,2008,1990,2103.691,2074.268,94.59564166030088,0.02274776822983071,1992.3797,94.4482470760135
France,2009,1935.84,2044.271,2099.417,94.69585979549679,0.0010588763234382625,1936.4294,94.5114698794087
France,2010,1996.075,2085.163,2124.435,95.72752825558482,0.010835628592854363,1995.2901,95.5224815191938
France,2011,2062.141,2135.991,2149.29,96.5425884285093,0.00847833318386293,2058.3677,96.4279538093276
France,2012,2088.287,2139.917,2171.828,97.5872896004845,0.01076301358271703,2088.804,97.5481600132591
France,2013,2120.352,2156.646,2194.331,98.31710906657837,0.007450806080456118,2117.1905,98.3073691816546
France,2014,2153.733,2178.166,2214.371,98.87827649499624,0.005691501772749241,2149.7662,98.8745939613929
France,2015,2201.402,2201.402,2230.909,100,0.011280622699670673,2198.4333,100
France,2016,2231.819,2220.334,2247.518,100.51726451966236,0.005159313022764955,2234.1298,100.52251408598801
France,2017,2291.681,2266.598,2265.446,101.10663646575176,0.005846267450226428,2297.2442,101.046852966112
France,2018,2355.363,2303.904,2285.606,102.23355660652527,0.011084199945510242,2363.3074,102.049550361075
France,2019,2432.207,2350.614,2307.418,103.47113562669158,0.01203272456988369,2437.6373,103.354313686248
France,2020,2318.276,2175.713,2327.192,106.55247268366736,0.02934487409068609,2317.8331,106.289469481311
France,2021,2508.102,2325.453,2354.427,107.85434063814662,0.012144053950664535,2502.1193,107.802968811635
France,2022,2655.435,2385.237,2380.401,111.32793093516493,0.03169855957896317,2639.0918,110.98012405107
France,2023,2822.455,2407.574,2409.237,117.23232598458033,0.051677479496119894,NA,NA
France,2024,2917.936,2434.997,2437.035,119.83324825451533,0.021943520423600482,NA,NA
France,2025,2990.123,2455.027,2462.913,121.79593136857557,0.01624577200246602,NA,NA
France,2026,3081.944,2488.654,2487.805,123.8397945234653,0.016641800111319327,NA,NA
