Country,Year,Revenue_Total,Revenue_Taxes_Indirect,Revenue_Taxes_Direct,Revenue_Social_Contribution,Revenue_Capital_Transfers,Revenue_Others
Germany,1960-01-01,NA,NA,NA,NA,NA,NA
Germany,1961-01-01,NA,NA,NA,NA,NA,NA
Germany,1962-01-01,NA,NA,NA,NA,NA,NA
Germany,1963-01-01,NA,NA,NA,NA,NA,NA
Germany,1964-01-01,NA,NA,NA,NA,NA,NA
Germany,1965-01-01,NA,NA,NA,NA,NA,NA
Germany,1966-01-01,NA,NA,NA,NA,NA,NA
Germany,1967-01-01,NA,NA,NA,NA,NA,NA
Germany,1968-01-01,NA,NA,NA,NA,NA,NA
Germany,1969-01-01,NA,NA,NA,NA,NA,NA
Germany,1970-01-01,NA,NA,NA,NA,NA,NA
Germany,1971-01-01,NA,NA,NA,NA,NA,NA
Germany,1972-01-01,NA,NA,NA,NA,NA,NA
Germany,1973-01-01,NA,NA,NA,NA,NA,NA
Germany,1974-01-01,NA,NA,NA,NA,NA,NA
Germany,1975-01-01,NA,NA,NA,NA,NA,NA
Germany,1976-01-01,NA,NA,NA,NA,NA,NA
Germany,1977-01-01,NA,NA,NA,NA,NA,NA
Germany,1978-01-01,NA,NA,NA,NA,NA,NA
Germany,1979-01-01,NA,NA,NA,NA,NA,NA
Germany,1980-01-01,NA,NA,NA,NA,NA,NA
Germany,1981-01-01,NA,NA,NA,NA,NA,NA
Germany,1982-01-01,NA,NA,NA,NA,NA,NA
Germany,1983-01-01,NA,NA,NA,NA,NA,NA
Germany,1984-01-01,NA,NA,NA,NA,NA,NA
Germany,1985-01-01,NA,NA,NA,NA,NA,NA
Germany,1986-01-01,NA,NA,NA,NA,NA,NA
Germany,1987-01-01,NA,NA,NA,NA,NA,NA
Germany,1988-01-01,NA,NA,NA,NA,NA,NA
Germany,1989-01-01,NA,NA,NA,NA,NA,NA
Germany,1990-01-01,NA,NA,NA,NA,NA,NA
Germany,1991-01-01,686.311,155.941,194.25,258.231,4.853,73.036
Germany,1992-01-01,761.026,168.39,215.2,283.823,5.398,88.215
Germany,1993-01-01,790.261,179.397,215.384,301.003,6.071,88.406
Germany,1994-01-01,837.075,195.483,218.43,323.854,6.739,92.569
Germany,1995-01-01,870.238,196.847,226.202,344.172,9.498,93.519
Germany,1996-01-01,885.563,197.612,227.385,360.45,7.675,92.441
Germany,1997-01-01,899.509,200.628,227.39,373.386,8.06,90.045
Germany,1998-01-01,923.01,208.114,240.038,376.953,8.686,89.219
Germany,1999-01-01,968.416,223.572,255.926,382.338,8.795,97.785
Germany,2000-01-01,986.936,229.381,268.002,382.754,7.982,98.817
Germany,2001-01-01,977.627,233.418,242.701,388.615,8.156,104.737
Germany,2002-01-01,981.788,235.394,237.263,394.307,8.288,106.536
Germany,2003-01-01,1001.289,240.978,237.799,401.896,15.835,104.781
Germany,2004-01-01,998.635,239.835,238.163,401.602,16.125,102.91
Germany,2005-01-01,1011.597,242.581,248.531,401.237,9.53,109.718
Germany,2006-01-01,1056.69,252.846,276.839,405.332,9.116,112.557
Germany,2007-01-01,1110.816,278.208,300.062,404.635,9.856,118.055
Germany,2008-01-01,1143.471,283.315,314.031,412.551,9.443,124.131
Germany,2009-01-01,1125.612,286.922,281.351,415.558,9.633,132.148
Germany,2010-01-01,1143.087,287.084,280.778,426.49,9.601,139.134
Germany,2011-01-01,1220.989,309.27,306.013,442.622,10.436,152.648
Germany,2012-01-01,1260.986,315.623,326.393,454.584,11.126,153.26
Germany,2013-01-01,1298.112,325.968,340.391,465.363,10.518,155.872
Germany,2014-01-01,1350.164,337.783,353.543,482.336,12.431,164.071
Germany,2015-01-01,1401.532,349.818,371.654,501.157,13.218,165.685
Germany,2016-01-01,1465.493,359.16,397.057,524.258,16.269,168.749
Germany,2017-01-01,1529.123,371.778,421.401,549.481,11.449,175.014
Germany,2018-01-01,1597.996,381.4,444.667,572.583,14.087,185.259
Germany,2019-01-01,1657.565,394.384,457.903,598.227,13.31,193.741
Germany,2020-01-01,1612.652,371.274,428.972,608.093,15.058,189.255
Germany,2021-01-01,1747.866,411.025,486.556,632.221,19.321,198.743
Germany,2022-01-01,1852.59,431.742,529.014,667.138,18.413,206.283
Germany,2023-01-01,1917.448,424.31,533.287,709.872,19.436,230.543
Germany,2024-01-01,2012.341,445.6797,551.0965,754.0181,19.76851,241.7783
Germany,2025-01-01,2091.927,466.2253,562.1996,792.5947,20.60182,250.306
Germany,2026-01-01,2168.105,486.7565,573.0662,827.3175,21.24472,259.72
