Country,Year,Revenue_Total,Expenditure_Interest,Total_Debt,Expenditure_Total,SFA,IR,Surplus,Primary_Surplus
Germany,1991,689.615,42.65,583.51,740.701,NA,NA,-51.08600000000001,-8.436000000000014
Germany,1992,764.679,52.77,674.99,809.677,46.48199999999997,9.043546811537077,-44.99800000000005,7.771999999999956
Germany,1993,794.517,55.756,783.51,849.172,53.86500000000001,8.26027052252626,-54.65499999999997,1.1010000000000275
Germany,1994,841.289,60.789,831.58,888.016,1.3430000000000746,7.758548072136922,-46.726999999999975,14.062000000000026
Germany,1995,870.238,66.581,1030.294,1049.529,19.42300000000023,8.006565814473653,-179.29099999999994,-112.70999999999994
Germany,1996,885.563,66.769,1105.731,955.732,5.267999999999915,6.480577388590053,-70.16899999999998,-3.3999999999999773
Germany,1997,899.509,66.801,1154.6,959.059,-10.68100000000004,6.041342785903624,-59.549999999999955,7.251000000000047
Germany,1998,923.01,67.765,1236.273,976.591,28.091999999999985,5.869132166984238,-53.58100000000002,14.183999999999983
Germany,1999,968.416,64.274,1269.427,1007.188,-5.617999999999938,5.199013486503386,-38.771999999999935,25.502000000000066
Germany,2000,986.936,67.54,1334.942,1023.444,29.007000000000062,5.3205107501258455,-36.507999999999925,31.03200000000008
Germany,2001,977.627,66.201,1346.328,1046.229,-57.21600000000012,4.959091855676126,-68.60200000000009,-2.4010000000000957
Germany,2002,981.788,66.135,1425.025,1072.639,-12.153999999999769,4.912250209458617,-90.85099999999989,-24.71599999999988
Germany,2003,1001.289,65.075,1496.074,1087.101,-14.763000000000147,4.566586551113138,-85.81200000000013,-20.737000000000123
Germany,2004,998.635,63.816,1574.005,1077.079,-0.51299999999992,4.265564403899806,-78.44399999999996,-14.627999999999957
Germany,2005,1011.597,63.494,1651.476,1089.992,-0.9239999999999782,4.033913488203659,-78.39499999999998,-14.900999999999982
Germany,2006,1056.69,65.218,1658.161,1099.274,-35.89899999999989,3.949073434915191,-42.58399999999983,22.63400000000017
Germany,2007,1110.816,67.686,1671.273,1106.88,17.047999999999774,4.081992038167584,3.935999999999922,71.62199999999993
Germany,2008,1143.471,69.096,1818.691,1150.28,140.60900000000015,4.134333528992571,-6.808999999999969,62.287000000000035
Germany,2009,1125.612,65.189,1915.338,1204.818,17.44100000000003,3.5843911912468913,-79.2059999999999,-14.01699999999991
Germany,2010,1143.087,63.851,2247.051,1258.706,216.09400000000005,3.333667478011714,-115.61899999999991,-51.767999999999915
Germany,2011,1220.989,67.98,2333.568,1244.063,63.44300000000021,3.025298491222496,-23.07400000000007,44.905999999999935
Germany,2012,1260.986,64.185,2446.682,1262.507,111.59299999999962,2.750509091657068,-1.5209999999999582,62.664000000000044
Germany,2013,1298.112,51.902,2377.131,1294.6,-66.03899999999976,2.1213218554761104,3.512000000000171,55.41400000000017
Germany,2014,1350.164,47.547,2469.915,1328.332,114.61599999999999,2.0001842557267566,21.83199999999988,69.37899999999988
Germany,2015,1401.532,42.913,2426.221,1373.294,-15.456000000000131,1.7374282110922845,28.23799999999983,71.15099999999983
Germany,2016,1465.493,37.888,2425.519,1429.256,35.53499999999963,1.561605476170555,36.23699999999985,74.12499999999986
Germany,2017,1529.123,34.489,2396.376,1484.552,15.428000000000566,1.4219224833942756,44.57100000000014,79.06000000000014
Germany,2018,1597.996,31.787,2362.967,1533.329,31.258000000000038,1.3264612898810535,64.66700000000014,96.45400000000015
Germany,2019,1657.565,28.052,2387.712,1610.615,71.69499999999994,1.1871515768100018,46.950000000000045,75.00200000000004
Germany,2020,1612.652,22.39,2778.214,1763.785,239.36899999999991,0.9377177817090169,-151.13300000000004,-128.74300000000005
Germany,2021,1747.866,21.734,2865.298,1864.302,-29.35200000000009,0.782301147427808,-116.43599999999992,-94.70199999999991
Germany,2022,1852.59,27.871,2532.29,1937.464,-417.88199999999983,0.9727085978491592,-84.87400000000002,-57.00300000000003
Germany,2023,1917.448,36.567,2700.24990660616,2024.97,60.43790660616037,1.4440289224377936,-107.52199999999993,-70.95499999999993
Germany,2024,2006.1298178351499,44.6206387484164,2851.67074517617,2105.74952441351,51.80113199164998,1.652463301239342,-99.61970657835991,-54.99906782994351
France,1961,19.954727664736,0.537269826034793,NA,NA,NA,NA,NA,NA
France,1962,22.439492807541402,0.6169714344189989,NA,NA,NA,NA,NA,NA
France,1963,25.761108329413798,0.6203293708317159,NA,NA,NA,NA,NA,NA
France,1964,29.1796041437066,0.5905029944599319,NA,NA,NA,NA,NA,NA
France,1965,31.7953642960662,0.663291204347366,NA,NA,NA,NA,NA,NA
France,1966,34.3295652514124,0.657365434207276,NA,NA,NA,NA,NA,NA
France,1967,36.969304616808195,0.8972603620452381,NA,NA,NA,NA,NA,NA
France,1968,41.027488538473804,1.06288563746074,NA,NA,NA,NA,NA,NA
France,1969,47.7986770416499,1.1952278372560798,55.0624645944826,NA,NA,NA,NA,NA
France,1970,52.8818126007233,1.14515507957232,56.6779892280615,NA,NA,2.0797381446799013,NA,NA
France,1971,57.9924097376892,1.10150190620699,59.2359032312282,NA,NA,1.9434385750255796,NA,NA
France,1972,65.06324203357039,0.988122170859945,62.0630713399913,NA,NA,1.6681136219073016,NA,NA
France,1973,74.3791495063309,1.04026894809273,65.5633747127457,NA,NA,1.6761480307572476,NA,NA
France,1974,87.7422008198066,1.33833518613924,71.48696503586861,NA,NA,2.041284775231474,NA,NA
France,1975,102.271666172181,2.24942234517802,81.1801128373423,NA,NA,3.14661888926096,NA,NA
France,1976,123.27603332011,2.36616001693779,88.9884818996405,NA,NA,2.914704025699965,NA,NA
France,1977,138.185182781741,3.0105875196725402,98.81625675391251,NA,NA,3.383120439191021,NA,NA
France,1978,157.11709556687,3.72424777021066,116.428265687632,NA,NA,3.768861412637149,NA,NA
France,1979,186.50556706159298,4.62397720314761,133.662260722608,NA,NA,3.9715245914195627,NA,NA
France,1980,214.502043584215,5.651209456932141,149.143646108293,NA,NA,4.227976862264966,NA,NA
France,1981,244.558399954131,8.84944636437419,163.439442540645,NA,NA,5.933505446117777,NA,NA
France,1982,287.299675700854,10.4745888252938,212.924891972315,NA,NA,6.408850068543842,NA,NA
France,1983,322.45695240540005,14.5530001242105,243.320641935016,NA,NA,6.834804512242146,NA,NA
France,1984,356.59357824453497,16.6854872719574,278.132281024318,NA,NA,6.8574072217077315,NA,NA
France,1985,383.24746317109805,19.3444790966513,311.569324261635,NA,NA,6.9551362486255055,NA,NA
France,1986,406.632698530131,20.9849297970994,342.49773014234,NA,NA,6.735236161913573,NA,NA
France,1987,430.252628371475,21.187196084547796,373.28867634767903,NA,NA,6.1860836495887215,NA,NA
France,1988,455.386703053726,22.0022857673172,400.316666687164,NA,NA,5.894174444987555,NA,NA
France,1989,488.37536095126,24.517775191785198,430.128213395865,NA,NA,6.1245951597976145,NA,NA
France,1990,518.126525057849,28.1579757888422,449.176674950953,NA,NA,6.546414513601608,NA,NA
France,1991,540.687601910096,30.5768751600268,476.949696160612,NA,NA,6.807315888200469,NA,NA
France,1992,557.278854594594,33.6787195398567,547.220580612489,NA,NA,7.061272878663381,NA,NA
France,1993,570.40338710354,36.778983714315906,640.921107316939,NA,NA,6.72105271938972,NA,NA
France,1994,593.902735812626,39.1301317802322,712.010735418505,NA,NA,6.105296164147412,NA,NA
France,1995,618.3317,41.9826,838.599,680.3704,64.54956458149502,5.8963436801726745,-62.03870000000006,-20.056100000000065
France,1996,649.9395,45.0734,922.65,698.5235,35.46699999999987,5.3748454267176555,-48.58400000000006,-3.5106000000000606
France,1997,668.7814,45.7963,987.8,716.6467,17.28469999999993,4.963561480518074,-47.86530000000005,-2.0690000000000452
France,1998,694.5214,45.5858,1056.933,726.7161,36.93830000000003,4.614881554970642,-32.19470000000001,13.391099999999987
France,1999,727.0447,42.9433,1048.138,748.589,-30.339300000000094,4.0630106165669915,-21.54430000000002,21.39899999999998
France,2000,756.0065,43.6059,1081.878,775.348699999999,14.397800000000984,4.1603204921489345,-19.342199999999025,24.263700000000973
France,2001,786.539,46.7064,1111.179,808.225600000001,7.6143999999991365,4.317159605796587,-21.68660000000102,25.01979999999898
France,2002,800.9865,47.7935,1204.842,851.1074,43.542100000000005,4.301152199600605,-50.120900000000006,-2.3274000000000044
France,2003,815.4686,46.6581,1301.302,881.7856,30.1429999999998,3.8725492637208854,-66.31700000000001,-19.65890000000001
France,2004,855.6066,47.5106,1385.396,915.9064,23.794200000000046,3.651004916614283,-60.299800000000005,-12.789200000000008
France,2005,894.3411,47.8451,1464.489,956.1425,17.291600000000017,3.4535324196114328,-61.80140000000006,-13.956300000000056
France,2006,943.1782,48.0601,1446.692,992.240799999999,-66.85959999999909,3.2816975750586037,-49.062599999999065,-1.002499999999067
France,2007,981.3519,52.0952,1500.959,1039.2876,-3.6687000000001717,3.6009876324746384,-57.93570000000011,-5.840500000000112
France,2008,1010.5304,57.1693,1663.682,1080.2205,93.03290000000015,3.808851540914841,-69.69009999999992,-12.520799999999916
France,2009,979.7734,49.2815,1899.337,1122.6073,92.82110000000011,2.9621946982656544,-142.83389999999986,-93.55239999999986
France,2010,1009.2013,50.7079,2022.365,1151.9618,-19.732500000000073,2.6697684507804564,-142.7605000000001,-92.0526000000001
France,2011,1066.3192,55.9957,2135.437,1175.7047,3.6864999999997963,2.768822640819041,-109.38550000000009,-53.38980000000009
France,2012,1100.9659,54.9408,2329.887,1208.9531,86.46280000000024,2.5728129652150824,-107.98720000000003,-53.04640000000003
France,2013,1137.6462,49.426,2395.961,1242.358,-38.637800000000425,2.1213904365319003,-104.71180000000004,-55.28580000000004
France,2014,1159.1451,47.3158,2605.139,1257.6491,110.6740000000002,1.9748151159388656,-98.50400000000013,-51.18820000000013
France,2015,1182.3268,44.7074,2675.807,1268.0078,-15.013000000000375,1.7161234007091366,-85.68100000000004,-40.97360000000004
France,2016,1196.6229,42.4307,2787.838,1280.6481,28.005800000000363,1.5857160101606733,-84.02520000000004,-41.59450000000004
France,2017,1244.3869,41.0201,2863.171,1321.4446,-1.724700000000439,1.471394679317808,-77.05770000000007,-36.03760000000007
France,2018,1273.0161,41.6606,2892.366,1327.6323,-25.42119999999977,1.455051060519962,-54.616199999999935,-12.955599999999933
France,2019,1287.9292,36.8682,2988.6970000000097,1346.1547,38.10550000000967,1.274672707395952,-58.22550000000001,-21.35730000000001
France,2020,1223.2726,29.7241,3352.177,1430.357,156.3955999999905,0.9945504679798555,-207.08439999999996,-177.36029999999997
France,2021,1326.2748,34.7999,3428.603,1491.4241,-88.72330000000011,1.038128356587376,-165.14930000000004,-130.34940000000003
France,2022,1424.9695,50.9131,3064.6,1550.7431,-489.77660000000014,1.4849517427360357,-125.77359999999999,-74.86049999999999
