Country,Year,Expenditure_Interest,Expenditure_Social_Households,Expenditure_Total
Germany,1991,42.65,235.516,740.701
Germany,1992,52.77,265.178,809.677
Germany,1993,55.756,289.548,849.172
Germany,1994,60.789,307.598,888.016
Germany,1995,66.581,326.326,1049.529
Germany,1996,66.769,345.629,955.732
Germany,1997,66.801,353.525,959.059
Germany,1998,67.765,357.475,976.591
Germany,1999,64.274,370.411,1007.188
Germany,2000,67.54,369.133,1023.444
Germany,2001,66.201,382.938,1046.229
Germany,2002,66.135,397.992,1072.639
Germany,2003,65.075,408.988,1087.101
Germany,2004,63.816,411.118,1077.079
Germany,2005,63.494,412.615,1089.992
Germany,2006,65.218,409.26,1099.274
Germany,2007,67.686,401.833,1106.88
Germany,2008,69.096,405.166,1150.28
Germany,2009,65.189,427.204,1204.818
Germany,2010,63.851,431.214,1258.706
Germany,2011,67.98,425.271,1244.063
Germany,2012,64.185,431.667,1262.507
Germany,2013,51.902,440.113,1294.6
Germany,2014,47.547,452.763,1328.332
Germany,2015,42.913,471.572,1373.294
Germany,2016,37.888,489.37,1429.256
Germany,2017,34.489,509.573,1484.552
Germany,2018,31.787,523.248,1533.329
Germany,2019,28.052,549.967,1610.615
Germany,2020,22.39,595.429,1763.785
Germany,2021,21.734,606.167,1864.302
Germany,2022,27.871,613.928,1937.464
Germany,2023,36.567,656.996,2024.97
Germany,2024,44.6206387484164,700.7850613420451,2105.74952441351
France,1961,0.537269826034793,5.10136850656653,NA
France,1962,0.6169714344189989,6.105269488253979,NA
France,1963,0.6203293708317159,7.25794085777195,NA
France,1964,0.5905029944599319,8.19333965685916,NA
France,1965,0.663291204347366,8.99352890775723,NA
France,1966,0.657365434207276,9.77547085237314,NA
France,1967,0.8972603620452381,10.6844459565709,NA
France,1968,1.06288563746074,12.152307135694901,NA
France,1969,1.1952278372560798,13.7641525239526,NA
France,1970,1.14515507957232,15.1212336086532,NA
France,1971,1.10150190620699,16.8439588033904,NA
France,1972,0.988122170859945,19.020872414057898,NA
France,1973,1.04026894809273,21.9588881495983,NA
France,1974,1.33833518613924,25.958936995583,NA
France,1975,2.24942234517802,32.7293856106583,NA
France,1976,2.36616001693779,37.7276518511278,NA
France,1977,3.0105875196725402,43.475453617952596,NA
France,1978,3.72424777021066,51.2421253863889,NA
France,1979,4.62397720314761,58.7228229776819,NA
France,1980,5.651209456932141,68.06464609769921,NA
France,1981,8.84944636437419,81.1775779169768,NA
France,1982,10.4745888252938,96.8044966647729,NA
France,1983,14.5530001242105,108.370436527639,NA
France,1984,16.6854872719574,119.121380628078,NA
France,1985,19.3444790966513,129.204328201766,NA
France,1986,20.9849297970994,137.363285779246,NA
France,1987,21.187196084547796,142.134260972548,NA
France,1988,22.0022857673172,151.012214811604,NA
France,1989,24.517775191785198,159.837168926233,NA
France,1990,28.1579757888422,169.923116484323,NA
France,1991,30.5768751600268,180.86905957086302,NA
France,1992,33.6787195398567,191.790002787392,NA
France,1993,36.778983714315906,202.493947132206,NA
France,1994,39.1301317802322,208.614915306216,NA
France,1995,41.9826,215.0783,680.3704
France,1996,45.0734,222.0727,698.5235
France,1997,45.7963,230.2976,716.6467
France,1998,45.5858,235.6063,726.7161
France,1999,42.9433,242.0661,748.589
France,2000,43.6059,247.6518,775.348699999999
France,2001,46.7064,258.9207,808.225600000001
France,2002,47.7935,271.7581,851.1074
France,2003,46.6581,282.7998,881.7856
France,2004,47.5106,295.514,915.9064
France,2005,47.8451,308.7243,956.1425
France,2006,48.0601,323.9554,992.240799999999
France,2007,52.0952,338.1281,1039.2876
France,2008,57.1693,349.7192,1080.2205
France,2009,49.2815,369.6343,1122.6073
France,2010,50.7079,381.0668,1151.9618
France,2011,55.9957,392.5064,1175.7047
France,2012,54.9408,406.4885,1208.9531
France,2013,49.426,418.6055,1242.358
France,2014,47.3158,427.0274,1257.6491
France,2015,44.7074,433.8749,1268.0078
France,2016,42.4307,440.5171,1280.6481
France,2017,41.0201,447.7071,1321.4446
France,2018,41.6606,457.1553,1327.6323
France,2019,36.8682,470.5604,1346.1547
France,2020,29.7241,517.8375,1430.357
France,2021,34.7999,505.9251,1491.4241
France,2022,50.9131,511.1669,1550.7431
France,2023,52.7941,531.1184,1609.8829
France,2024,60.9348123593422,550.799009342248,1679.274393721
Italy,1961,0.159428116310381,1.1640030666655299,4.1618981469823
Italy,1962,0.17175722397171803,1.37241148406129,4.8471751241909
Italy,1963,0.17898463191112102,1.65838895367161,5.67249777891659
Italy,1964,0.18493661492004299,1.85698441867877,6.352230095587809
Italy,1965,0.205343413807771,2.28034322172934,7.33096162990734
Italy,1966,0.260186685818543,2.50604112666689,7.92985504222272
Italy,1967,0.32140708248172895,2.62753482290657,8.60233420085401
Italy,1968,0.352867564100311,2.9836048095782397,9.62934053852139
Italy,1969,0.406860552824094,3.22799405239883,10.451437560622999
Italy,1970,0.472757507565718,3.63312880101345,11.8812930628163
Italy,1971,0.590946884457147,4.18872881958644,13.754227666459999
Italy,1972,0.728267635305823,4.88030832125844,15.8787297343216
Italy,1973,0.9646463890886801,5.77001600449055,18.548770543943803
Italy,1974,1.44633187116778,7.09990469486795,23.155004311213002
Italy,1975,2.1189059511758397,9.16623209783663,29.6212797339335
Italy,1976,3.01085311922699,11.4115290610353,36.2916550071823
Italy,1977,3.97805035817664,13.533930477653099,44.5490906734189
Italy,1978,5.54299674787935,17.0918266436873,55.601686182387
Italy,1979,6.69257975188807,19.824967525633,66.8067454978588
Italy,1980,9.00152401770589,24.9833094979015,84.84400637108651
Italy,1981,12.406965626537001,33.6251590237836,110.95990779678101
Italy,1982,18.887902945516203,40.2877076014301,137.212827849955
Italy,1983,26.148712388655103,49.7210778796829,167.322956323575
Italy,1984,32.0897382370622,55.3805011658635,192.193708718446
Italy,1985,36.1940652494672,63.488348670915606,218.767515786373
Italy,1986,41.703161921416495,70.08402222913111,244.808282451411
Italy,1987,41.0512688125034,75.93508736203951,264.32544604187797
Italy,1988,47.8831485873545,84.2265916368724,297.294166696544
Italy,1989,58.0894750532816,95.14818063112081,334.28002649982
Italy,1990,70.7154047762173,105.205385045857,378.738491614375
Italy,1991,86.89875118858949,115.69378361573199,421.99983160704403
Italy,1992,98.5178460025137,129.302351002643,455.574315746957
Italy,1993,105.02277938685201,137.394228353801,477.324848185101
Italy,1994,99.6876541887534,147.332654748951,480.64816760360304
Italy,1995,109.776,154.104,509.592
Italy,1996,115.57,165.752,538.01
Italy,1997,99.8659999999999,177.768,540.15
Italy,1998,89.383,181.951,547.851
Italy,1999,74.997,190.424,554.351
Italy,2000,75.961,195.723,577.169
Italy,2001,79.082,203.108,616.778
Italy,2002,73.477,214.278,630.226
Italy,2003,69.138,224.365,657.271
Italy,2004,66.749,234.595,680.101
Italy,2005,67.224,242.245,705.365
Italy,2006,68.871,252.104,741.87
Italy,2007,76.677,264.407,755.725
Italy,2008,80.678,277.27,784.89
Italy,2009,69.499,291.627,808.728
Italy,2010,68.857,298.695,805.717
Italy,2011,76.566,304.478,812.549
Italy,2012,83.582,311.748,824.301
Italy,2013,77.659,319.978,825.233
Italy,2014,74.442,327.01,829.632
Italy,2015,68.116,332.924,835.694
Italy,2016,66.258,336.37,835.037
Italy,2017,65.333,341.404,851.015
Italy,2018,64.366,348.474,859.018
Italy,2019,60.214,361.203,873.598
Italy,2020,57.126,399.175,948.296
Italy,2021,62.994,397.876,1032.343
