Country,Year,Revenue_Total,Expenditure_Total,Expenditure_Interest,Total_Debt,SFA,IR,Surplus,Primary_Surplus
Italy,1960-01-01,NA,NA,NA,4,NA,NA,NA,NA
Italy,1961-01-01,NA,NA,NA,4.3,NA,NA,NA,NA
Italy,1962-01-01,NA,NA,NA,4.6,NA,NA,NA,NA
Italy,1963-01-01,NA,NA,NA,5,NA,NA,NA,NA
Italy,1964-01-01,NA,NA,NA,5.5,NA,NA,NA,NA
Italy,1965-01-01,NA,NA,NA,6.1,NA,NA,NA,NA
Italy,1966-01-01,NA,NA,NA,7.8,NA,NA,NA,NA
Italy,1967-01-01,NA,NA,NA,8.6,NA,NA,NA,NA
Italy,1968-01-01,NA,NA,NA,10,NA,NA,NA,NA
Italy,1969-01-01,NA,NA,NA,11.3,NA,NA,NA,NA
Italy,1970-01-01,NA,NA,NA,13.1,NA,NA,NA,NA
Italy,1971-01-01,NA,NA,NA,16.1,NA,NA,NA,NA
Italy,1972-01-01,NA,NA,NA,20.1,NA,NA,NA,NA
Italy,1973-01-01,NA,NA,NA,25.8,NA,NA,NA,NA
Italy,1974-01-01,NA,NA,NA,32.4,NA,NA,NA,NA
Italy,1975-01-01,NA,NA,NA,41.9,NA,NA,NA,NA
Italy,1976-01-01,NA,NA,NA,52.3,NA,NA,NA,NA
Italy,1977-01-01,NA,NA,NA,62.5,NA,NA,NA,NA
Italy,1978-01-01,NA,NA,NA,79.1,NA,NA,NA,NA
Italy,1979-01-01,NA,NA,NA,94.8,NA,NA,NA,NA
Italy,1980-01-01,NA,NA,NA,114.1,NA,NA,NA,NA
Italy,1981-01-01,NA,NA,NA,142.4,NA,NA,NA,NA
Italy,1982-01-01,NA,NA,NA,181.6,NA,NA,NA,NA
Italy,1983-01-01,NA,NA,NA,232.4,NA,NA,NA,NA
Italy,1984-01-01,NA,NA,NA,286.7,NA,NA,NA,NA
Italy,1985-01-01,NA,NA,NA,347.6,NA,NA,NA,NA
Italy,1986-01-01,NA,NA,NA,404.3,NA,NA,NA,NA
Italy,1987-01-01,NA,NA,NA,463.1,NA,NA,NA,NA
Italy,1988-01-01,NA,NA,NA,524.5,NA,NA,NA,NA
Italy,1989-01-01,NA,NA,NA,591.6,NA,NA,NA,NA
Italy,1990-01-01,NA,NA,NA,667.8,NA,NA,NA,NA
Italy,1991-01-01,NA,NA,NA,755,NA,NA,NA,NA
Italy,1992-01-01,NA,NA,NA,849.9,NA,NA,NA,NA
Italy,1993-01-01,NA,NA,NA,959.7,NA,NA,NA,NA
Italy,1994-01-01,NA,NA,NA,1069.4,NA,NA,NA,NA
