Country,Year,Expenditure_Total,Expenditure_Interest,Expenditure_Subsidies,Expenditure_Social_Households,Expenditure_Social_Markets,Expenditure_Consumption_Intmd,Expenditure_Compensation_Employees,Expenditure_Other_Curr,Expenditure_Capital_Formation,Expenditure_Capital_Exp_Others
Italy,1960-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1961-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1962-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1963-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1964-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1965-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1966-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1967-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1968-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1969-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1970-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1971-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1972-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1973-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1974-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1975-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1976-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1977-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1978-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1979-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1980-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1981-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1982-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1983-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1984-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1985-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1986-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1987-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1988-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1989-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1990-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1991-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1992-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
