Country,Year,Expenditure_Total,Expenditure_Social_Households,Expenditure_Interest
Italy,1961,4.1618981469823,1.1640030666655299,0.159428116310381
Italy,1962,4.8471751241909,1.37241148406129,0.17175722397171803
Italy,1963,5.67249777891659,1.65838895367161,0.17898463191112102
Italy,1964,6.352230095587809,1.85698441867877,0.18493661492004299
Italy,1965,7.33096162990734,2.28034322172934,0.205343413807771
Italy,1966,7.92985504222272,2.50604112666689,0.260186685818543
Italy,1967,8.60233420085401,2.62753482290657,0.32140708248172895
Italy,1968,9.62934053852139,2.9836048095782397,0.352867564100311
Italy,1969,10.451437560622999,3.22799405239883,0.406860552824094
Italy,1970,11.8812930628163,3.63312880101345,0.472757507565718
Italy,1971,13.754227666459999,4.18872881958644,0.590946884457147
Italy,1972,15.8787297343216,4.88030832125844,0.728267635305823
Italy,1973,18.548770543943803,5.77001600449055,0.9646463890886801
Italy,1974,23.155004311213002,7.09990469486795,1.44633187116778
Italy,1975,29.6212797339335,9.16623209783663,2.1189059511758397
Italy,1976,36.2916550071823,11.4115290610353,3.01085311922699
Italy,1977,44.5490906734189,13.533930477653099,3.97805035817664
Italy,1978,55.601686182387,17.0918266436873,5.54299674787935
Italy,1979,66.8067454978588,19.824967525633,6.69257975188807
Italy,1980,84.84400637108651,24.9833094979015,9.00152401770589
Italy,1981,110.95990779678101,33.6251590237836,12.406965626537001
Italy,1982,137.212827849955,40.2877076014301,18.887902945516203
Italy,1983,167.322956323575,49.7210778796829,26.148712388655103
Italy,1984,192.193708718446,55.3805011658635,32.0897382370622
Italy,1985,218.767515786373,63.488348670915606,36.1940652494672
Italy,1986,244.808282451411,70.08402222913111,41.703161921416495
Italy,1987,264.32544604187797,75.93508736203951,41.0512688125034
Italy,1988,297.294166696544,84.2265916368724,47.8831485873545
Italy,1989,334.28002649982,95.14818063112081,58.0894750532816
Italy,1990,378.738491614375,105.205385045857,70.7154047762173
Italy,1991,421.99983160704403,115.69378361573199,86.89875118858949
Italy,1992,455.574315746957,129.302351002643,98.5178460025137
Italy,1993,477.324848185101,137.394228353801,105.02277938685201
Italy,1994,480.64816760360304,147.332654748951,99.6876541887534
Italy,1995,509.592,154.104,109.776
Italy,1996,538.01,165.752,115.57
Italy,1997,540.15,177.768,99.8659999999999
Italy,1998,547.851,181.951,89.383
Italy,1999,554.351,190.424,74.997
Italy,2000,577.169,195.723,75.961
Italy,2001,616.778,203.108,79.082
Italy,2002,630.226,214.278,73.477
Italy,2003,657.271,224.365,69.138
Italy,2004,680.101,234.595,66.749
Italy,2005,705.365,242.245,67.224
Italy,2006,741.87,252.104,68.871
Italy,2007,755.725,264.407,76.677
Italy,2008,784.89,277.27,80.678
Italy,2009,808.728,291.627,69.499
Italy,2010,805.717,298.695,68.857
Italy,2011,812.549,304.478,76.566
Italy,2012,824.301,311.748,83.582
Italy,2013,825.233,319.978,77.659
Italy,2014,829.632,327.01,74.442
Italy,2015,835.694,332.924,68.116
Italy,2016,835.037,336.37,66.258
Italy,2017,851.015,341.404,65.333
Italy,2018,859.018,348.474,64.366
Italy,2019,873.598,361.203,60.214
Italy,2020,948.296,399.175,57.126
Italy,2021,1032.343,397.876,62.994
Italy,2022,1096.547,406.898,81.845
Italy,2023,1144.854,424.486,77.998
Italy,2024,1103.6684045573,437.21875712142605,88.5762913197691
