Country,Year,Revenue_Total,Revenue_Taxes_Indirect,Revenue_Taxes_Direct,Revenue_Social_Contribution,Revenue_Capital_Transfers,Revenue_Others
Italy,1960-01-01,NA,NA,NA,NA,NA,NA
Italy,1961-01-01,NA,NA,NA,NA,NA,NA
Italy,1962-01-01,NA,NA,NA,NA,NA,NA
Italy,1963-01-01,NA,NA,NA,NA,NA,NA
Italy,1964-01-01,NA,NA,NA,NA,NA,NA
Italy,1965-01-01,NA,NA,NA,NA,NA,NA
Italy,1966-01-01,NA,NA,NA,NA,NA,NA
Italy,1967-01-01,NA,NA,NA,NA,NA,NA
Italy,1968-01-01,NA,NA,NA,NA,NA,NA
Italy,1969-01-01,NA,NA,NA,NA,NA,NA
Italy,1970-01-01,NA,NA,NA,NA,NA,NA
Italy,1971-01-01,NA,NA,NA,NA,NA,NA
Italy,1972-01-01,NA,NA,NA,NA,NA,NA
Italy,1973-01-01,NA,NA,NA,NA,NA,NA
Italy,1974-01-01,NA,NA,NA,NA,NA,NA
Italy,1975-01-01,NA,NA,NA,NA,NA,NA
Italy,1976-01-01,NA,NA,NA,NA,NA,NA
Italy,1977-01-01,NA,NA,NA,NA,NA,NA
Italy,1978-01-01,NA,NA,NA,NA,NA,NA
Italy,1979-01-01,NA,NA,NA,NA,NA,NA
Italy,1980-01-01,NA,NA,NA,NA,NA,NA
Italy,1981-01-01,NA,NA,NA,NA,NA,NA
Italy,1982-01-01,NA,NA,NA,NA,NA,NA
Italy,1983-01-01,NA,NA,NA,NA,NA,NA
Italy,1984-01-01,NA,NA,NA,NA,NA,NA
Italy,1985-01-01,NA,NA,NA,NA,NA,NA
Italy,1986-01-01,NA,NA,NA,NA,NA,NA
Italy,1987-01-01,NA,NA,NA,NA,NA,NA
Italy,1988-01-01,NA,NA,NA,NA,NA,NA
Italy,1989-01-01,NA,NA,NA,NA,NA,NA
Italy,1990-01-01,NA,NA,NA,NA,NA,NA
Italy,1991-01-01,NA,NA,NA,NA,NA,NA
Italy,1992-01-01,NA,NA,NA,NA,NA,NA
Italy,1993-01-01,NA,NA,NA,NA,NA,NA
Italy,1994-01-01,NA,NA,NA,NA,NA,NA
Italy,1995-01-01,438.289,115.728,137.036,138.62,7.924,38.981
Italy,1996-01-01,468.772,120.769,151.324,150.052,4.286,42.341
Italy,1997-01-01,507.513,131.211,165.771,157.428,10.109,42.994
Italy,1998-01-01,513.774,168.553,155.751,138.42,7.5,43.55
Italy,1999-01-01,533.453,170.78,168.082,142.783,5.625,46.183
Italy,2000-01-01,547.045,178.425,171.067,145.872,4.648,47.033
Italy,2001-01-01,575.153,182.701,183.261,154.011,3.317,51.863
Italy,2002-01-01,591.19,190.078,180.544,161.691,5.351,53.526
Italy,2003-01-01,612.124,190.737,178.472,168.733,22.258,51.924
Italy,2004-01-01,629.663,199.155,185.289,176.713,12.164,56.342
Italy,2005-01-01,643.925,208.059,191.001,182.056,6.38,56.429
Italy,2006-01-01,685.63,224.967,213.472,184.419,4.384,58.388
Italy,2007-01-01,734.222,232.258,233.507,203.167,4.538,60.752
Italy,2008-01-01,742.417,222.498,239.88,213.021,4.001,63.017
Italy,2009-01-01,728.627,214.317,222.527,212.155,16.181,63.447
Italy,2010-01-01,738.388,225.694,226.675,213.718,6.197,66.104
Italy,2011-01-01,754.137,233.151,226.997,216.407,10.68,66.902
Italy,2012-01-01,775.551,247.794,239.767,215.906,4.861,67.223
Italy,2013-01-01,778.629,242.256,241.037,215.394,9.202,70.74
Italy,2014-01-01,783.525,252.293,237.168,214.429,7.007,72.628
Italy,2015-01-01,794.792,250.287,242.566,219.171,9.544,73.224
Italy,2016-01-01,794.041,245.147,247.425,220.752,7.321,73.396
Italy,2017-01-01,807.248,250.821,250.161,225.992,7.245,73.029
Italy,2018-01-01,820.05,256.209,248.561,234.142,4.637,76.501
Italy,2019-01-01,847.437,261.488,258.205,242.02,4.742,80.982
Italy,2020-01-01,791.669,231.18,251.102,230.337,5.706,73.344
Italy,2021-01-01,869.213,262.1,268.362,247.577,11.149,80.025
Italy,2022-01-01,934.972,279.901,290.412,260.268,17.838,86.553
Italy,2023-01-01,992.119,290.724,320.796,269.464,23.07,88.065
Italy,2024-01-01,1021.87,300.9871,341.6308,281.1299,7.44928,90.6733
Italy,2025-01-01,1069.544,310.4707,344.2741,303.6391,13.94664,97.2131
Italy,2026-01-01,1100.602,319.5048,355.2773,313.2446,11.80358,100.7715
