Country,Year,GDP,GDP_r,GDPPOT,Deflator,pi,GDP_alt,Deflator_alt
Italy,1960,12.711,434.316,NA,2.926670903213329,NA,NA,NA
Italy,1961,14.341,471.09,NA,3.044216604045936,0.039378028625129735,NA,NA
Italy,1962,16.162,503.98,NA,3.206873288622564,0.05205281388483951,NA,NA
Italy,1963,18.629,535.312,NA,3.480026601309143,0.08174352875648472,NA,NA
Italy,1964,20.546,556.508,NA,3.691950520028463,0.05911497679682709,NA,NA
Italy,1965,22.208,582.131,611.177,3.814948868897207,0.032772347390081835,NA,NA
Italy,1966,24.264,621.034,645.584,3.9070324652112447,0.02385086353863719,NA,NA
Italy,1967,26.942,668.943,681.948,4.027547937567177,0.030379613022775365,NA,NA
Italy,1968,29.286,717.908,718.76,4.0793527861508725,0.012780606427652552,NA,NA
Italy,1969,32.387,765.249,757.607,4.232217226027084,0.03678767765268165,NA,NA
Italy,1970,36.579,811.437,794.983,4.507928526798754,0.0631117186642749,NA,NA
Italy,1971,39.949,824.54,831.468,4.845004487350523,0.07211043021958985,NA,NA
Italy,1972,43.802,852.784,865.686,5.136353402502861,0.058395201394929375,NA,NA
Italy,1973,52.817,910.089,902.103,5.803498339173421,0.1221175247308135,NA,NA
Italy,1974,66.796,956.045,939.816,6.986700416821384,0.1855475037751979,NA,NA
Italy,1975,76.539,932.984,970.299,8.203677662210714,0.1605741476927809,NA,NA
Italy,1976,96.11,995.023,999.633,9.659073207352996,0.16331515323620227,NA,NA
Italy,1977,116.797,1016.803,1028.417,11.486689162010732,0.17329119846326257,NA,NA
Italy,1978,137.52,1046.278,1060.253,13.143734265654063,0.13475626255375994,NA,NA
Italy,1979,168.295,1104.433,1089.965,15.238135767402822,0.14785605443163696,NA,NA
Italy,1980,210.196,1138.662,1123.336,18.459911720949673,0.1918002290802412,NA,NA
Italy,1981,251.953,1145.001,1145.626,22.004609602961047,0.17565051193497094,NA,NA
Italy,1982,297.489,1146.784,1165.748,25.94115369590088,0.16457869463661634,NA,NA
Italy,1983,346.71,1157.393,1190.016,29.956116893743093,0.14390288710635835,NA,NA
Italy,1984,396.622,1192.261,1213.728,33.26637372186124,0.10481354809365184,NA,NA
Italy,1985,445.441,1223.511,1240.762,36.40678342900064,0.09020802656532823,NA,NA
Italy,1986,493.388,1256.666,1268.934,39.26166539080392,0.07549349226027235,NA,NA
Italy,1987,540.465,1295.208,1298.067,41.72804676932199,0.0609248796373878,NA,NA
Italy,1988,601.286,1347.392,1330.354,44.625914358998706,0.0671412426099458,NA,NA
Italy,1989,660.714,1391.215,1360.657,47.49186861843785,0.0622437796787807,NA,NA
Italy,1990,730.881,1418.795,1392.313,51.514207478881715,0.08129913359379559,NA,NA
Italy,1991,798.633,1439.211,1424.096,55.491029459891564,0.07436373333535728,NA,NA
Italy,1992,840.907,1449.615,1453.13,58.00898859352311,0.04437659795398741,NA,NA
Italy,1993,866.804,1437.51,1471.435,60.29898922442278,0.0387173668559484,NA,NA
Italy,1994,917.028,1467.328,1494.118,62.4964561434117,0.03579451228407571,NA,NA
Italy,1995,990.521,1506.693,1518.089,65.74139522782677,0.0506189380044999,988.2432,NA
Italy,1996,1047.745,1526.967,1540.749,68.61608666068093,0.042798215234141956,1045.8699,68.8813460602077
Italy,1997,1095.092,1556.372,1567.49,70.3618415134685,0.025124085591514245,1092.3573,70.6498490942342
Italy,1998,1141.257,1584.455,1593.211,72.02836306490245,0.023408880642912244,1138.8561,72.3473364747756
Italy,1999,1177.55,1611.042,1619.384,73.09244575870773,0.014665047319105895,1175.1494,73.4587747051394
Italy,2000,1244.744,1673.584,1645.015,74.37595005688391,0.017407617436763445,1241.5128,74.7755446663634
Italy,2001,1308.623,1707.164,1667.138,76.65479122099576,0.03017947348156369,1304.1369,77.0439734460763
Italy,2002,1355.522,1711.772,1684.913,79.18823301234042,0.03251560356595551,1350.2589,79.5667178367738
Italy,2003,1399.386,1712.911,1700.222,81.69636367563756,0.031181777915508135,1394.6932,82.0713455045683
Italy,2004,1457.356,1738.16,1717.877,83.84475537349842,0.025957445969580384,1452.3191,84.2628649176215
Italy,2005,1499.073,1751.412,1726.705,85.5922535645525,0.02062784472061452,1493.6354,85.9570678173769
Italy,2006,1559.864,1782.928,1736.503,87.48889467213482,0.02191708396454839,1552.6867,87.7835233084702
Italy,2007,1621.715,1808.999,1748.97,89.64709212111228,0.02436889634398831,1614.8398,89.9597515464738
Italy,2008,1643.719,1790.491,1753.788,91.80269546174765,0.023760895903748747,1637.6994,92.1194911902901
Italy,2009,1584.107,1695.503,1749.646,93.42991430861521,0.01756991610860581,1577.2559,93.6660600472486
Italy,2010,1617.945,1721.429,1749.046,93.9884828244441,0.0059606759868273684,1611.2795,94.0748275280139
Italy,2011,1657.362,1733.4,1754.772,95.61336102457598,0.01714031834396046,1648.7558,95.5868508196125
Italy,2012,1632.899,1679.228,1742.271,97.24105362702385,0.016880414751256012,1624.3587,97.0659278062121
Italy,2013,1621.261,1648.699,1733.241,98.33577869580803,0.011194950741031384,1612.7503,98.1799860404393
Italy,2014,1635.871,1648.676,1725.616,99.22331616400069,0.008985093193135896,1627.4056,99.0766796778748
Italy,2015,1663.278,1663.278,1725.719,99.99999999999999,0.007797157339488159,1655.355,100
Italy,2016,1704.857,1683.839,1724.726,101.24821909933195,0.0124049307014662,1695.7868,101.134404225989
Italy,2017,1744.493,1710.843,1728.418,101.96686662656947,0.007072806829332201,1736.5928,101.868998069809
Italy,2018,1777.744,1724.986,1734.856,103.05845960488953,0.010648472683901566,1771.3911,102.957128895626
Italy,2019,1804.067,1732.389,1741.614,104.13752338533668,0.01041596966032099,1796.6484,103.922971783032
Italy,2020,1670.012,1578.757,1746.632,105.78018023039643,0.015650803596265916,1661.2397,105.564076613374
Italy,2021,1842.507,1719.757,1747.431,107.13763630559434,0.012751159013973279,1822.3447,106.912999770676
Italy,2022,1997.055,1799.927,1769.402,110.95199971998865,0.034983344356966484,1946.4791,110.094952614439
Italy,2023,2128.001,1812.484,1788.807,117.40798815327476,0.05655727444035108,NA,NA
Italy,2024,2176.571,1824.605,1812.218,119.28998331145644,0.015902416124244034,NA,NA
Italy,2025,2240.943,1843.538,1831.326,121.55664814069469,0.01882303057077639,NA,NA
Italy,2026,2308.816,1865.789,1847.619,123.74475356002205,0.017840611109828153,NA,NA
