Country,Year,Revenue_Total,Expenditure_Total,Expenditure_Interest,Total_Debt,SFA,IR,Surplus,Primary_Surplus
Netherlands,1960-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1961-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1962-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1963-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1964-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1965-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1966-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1967-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1968-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1969-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1970-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1971-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1972-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1973-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1974-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1975-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1976-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1977-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1978-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1979-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1980-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1981-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1982-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1983-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1984-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1985-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1986-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1987-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1988-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1989-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1990-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1991-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1992-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1993-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1994-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1995-01-01,152.021,180.812,17.633,241.1,NA,NA,-28.791000000000025,-11.158000000000026
Netherlands,1996-01-01,159.58,166.162,17.248,246.1,-1.59,7.1549464,-6.581999999999994,10.666000000000007
Netherlands,1997-01-01,165.801,171.721,17.185,242.9,-9.08,6.984296,-5.920000000000016,11.264999999999983
Netherlands,1998-01-01,173.893,179.165,17.207,247.5,-0.64,7.0841893,-5.271999999999991,11.93500000000001
Netherlands,1999-01-01,187.21,186.022,16.97,246.2,-0.09,6.8558731,1.1880000000000166,18.158000000000015
Netherlands,2000-01-01,200.529,195.393,15.549,235.9,-5.23,6.314366,5.135999999999996,20.684999999999995
Netherlands,2001-01-01,210.599,212.858,14.539,238.7,0.54,6.1637534,-2.2590000000000146,12.279999999999985
Netherlands,2002-01-01,213.99,225.205,13.546,244.9,-4.98,5.6753575,-11.215000000000003,2.330999999999996
Netherlands,2003-01-01,219.143,235.578,12.748,256.5,-4.87,5.2050499,-16.435000000000002,-3.687000000000003
Netherlands,2004-01-01,227.769,237.47,12.808,266.3,0.15,4.9937033,-9.700999999999993,3.1070000000000064
Netherlands,2005-01-01,237.32,240.167,12.46,274.3,5.1,4.6783714,-2.8470000000000084,9.612999999999992
Netherlands,2006-01-01,258.423,258.252,12.253,264.2,-9.95,4.4673815,0.17099999999999227,12.423999999999992
Netherlands,2007-01-01,267.848,269.466,12.875,266.2,0.45,4.8739954,-1.617999999999995,11.257000000000005
Netherlands,2008-01-01,288.237,288.26,13.931,354,87.79,5.2328704,-0.022999999999967713,13.908000000000031
Netherlands,2009-01-01,273.028,305.176,13.249,354.8,-31.42,3.7422748,-32.14799999999997,-18.898999999999965
Netherlands,2010-01-01,280.291,314.223,12.086,378.8,-9.93,3.4067814,-33.932000000000016,-21.846000000000018
Netherlands,2011-01-01,284.421,313.416,12.184,401.3,-6.45,3.2167958,-28.995000000000005,-16.811000000000007
Netherlands,2012-01-01,288.342,313.598,11.454,432.5,5.9,2.8542024,-25.25600000000003,-13.802000000000028
Netherlands,2013-01-01,297.383,316.425,11.176,447.1,-4.42,2.5842733,-19.04200000000003,-7.86600000000003
Netherlands,2014-01-01,301.973,317.186,10.309,455.9,-6.41,2.305841,-15.212999999999965,-4.903999999999966
Netherlands,2015-01-01,303.955,316.389,9.371,446.1,-22.18,2.0555577,-12.434000000000026,-3.0630000000000255
Netherlands,2016-01-01,317.914,316.279,8.556,438.5,-5.98,1.9177665,1.634999999999991,10.19099999999999
Netherlands,2017-01-01,330.943,321.059,7.654,420.4,-8.21,1.7453686,9.883999999999958,17.537999999999958
Netherlands,2018-01-01,345.746,334.143,7.13,405.9,-2.94,1.6958425,11.603000000000009,18.733000000000008
Netherlands,2019-01-01,364.103,349.318,6.446,394.8,3.71,1.5880798,14.785000000000025,21.231000000000023
Netherlands,2020-01-01,360.92,390.377,5.659,435.6,11.28,1.4332932,-29.456999999999994,-23.797999999999995
Netherlands,2021-01-01,389.572,409.171,4.841,449.6,-5.54,1.11143,-19.59899999999999,-14.757999999999988
Netherlands,2022-01-01,429.861,429.746,5.65,480.5,30.96,1.2566167,0.1150000000000091,5.7650000000000095
Netherlands,2023-01-01,457.397,461.217,7.309,481.5,-2.82,1.5212346,-3.819999999999993,3.489000000000007
Netherlands,2024-01-01,488.2404,490.4609,8.55153,489.8,6.14,1.7761367,-2.2204999999999586,6.331030000000041
Netherlands,2025-01-01,504.2586,526.4638,9.38958,524.5,12.5,1.9169116,-22.20519999999999,-12.81561999999999
Netherlands,2026-01-01,523.5806,553.0212,10.0938,571.9,17.89,1.9243305,-29.440600000000018,-19.346800000000016
