Country,Year,Expenditure_Total,Expenditure_Interest,Expenditure_Subsidies,Expenditure_Social_Households,Expenditure_Social_Markets,Expenditure_Consumption_Intmd,Expenditure_Compensation_Employees,Expenditure_Other_Curr,Expenditure_Capital_Formation,Expenditure_Capital_Exp_Others
Netherlands,1960-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1961-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1962-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1963-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1964-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1965-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1966-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1967-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1968-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1969-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1970-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1971-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1972-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1973-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1974-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1975-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1976-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1977-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1978-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1979-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1980-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1981-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1982-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1983-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1984-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
