Country,Year,Expenditure_Total,Expenditure_Social_Households,Expenditure_Interest
Netherlands,1969,23.1732993840319,6.4946042895095,1.45173137973138
Netherlands,1970,26.6318490503233,7.49024920624636,1.7172669922669899
Netherlands,1971,31.223155715753,8.89310872805028,1.91513715913716
Netherlands,1972,35.0292123627599,10.558418583554701,2.03611477411478
Netherlands,1973,39.9476221360146,12.4413955808981,2.33343264143264
Netherlands,1974,47.1501891138052,15.0336133609797,2.8450244200244197
Netherlands,1975,57.3338982834436,18.380896585239398,3.20180586080586
Netherlands,1976,65.1632445901207,21.3272140219011,3.66521164021164
Netherlands,1977,70.2547160379979,23.503885440290297,4.04249776149776
Netherlands,1978,78.5570569590153,26.2762774573965,4.58689702889703
Netherlands,1979,85.203112340398,28.6164595995594,5.13642246642247
Netherlands,1980,94.1540279015461,31.1409818570596,6.18318640618641
Netherlands,1981,101.612446527655,33.8217245512862,7.69438135938136
Netherlands,1982,109.685843175299,37.2783620812545,9.24966137566138
Netherlands,1983,113.78513708162399,39.2675689755719,10.4840431420431
Netherlands,1984,117.4298566504,39.565429274930395,11.7379043549044
Netherlands,1985,119.89621854689,38.8291102831595,12.739557997558
Netherlands,1986,122.873851622919,38.978040432838796,13.129146927147
Netherlands,1987,127.08943148273599,39.474821421628995,13.0655824175824
Netherlands,1988,127.83183374440601,40.3152873712175,13.460297517297501
Netherlands,1989,130.800262714321,41.1765827123696,13.544366707366699
Netherlands,1990,139.48914898612398,46.301654506576796,14.4763044363044
Netherlands,1991,147.83623512995598,47.6701455323009,15.854218966219
Netherlands,1992,156.384456592949,49.516671094408096,17.1244839234839
Netherlands,1993,161.370536406373,50.7539369532819,17.205477411477403
Netherlands,1994,163.048205858241,49.440643815201206,16.4785864875865
Netherlands,1995,180.812,48.219,17.633
Netherlands,1996,166.162,48.34,17.248
Netherlands,1997,171.721,47.909,17.185
Netherlands,1998,179.165,48.55,17.207
Netherlands,1999,186.022,48.956,16.97
Netherlands,2000,195.393,49.862,15.549
Netherlands,2001,212.858,52.277,14.539
Netherlands,2002,225.205,54.579,13.546000000000099
Netherlands,2003,235.578,58.244,12.748
Netherlands,2004,237.47,59.562,12.808
Netherlands,2005,240.167,59.673,12.46
Netherlands,2006,258.252,61.14,12.253
Netherlands,2007,269.466,62.377,12.875
Netherlands,2008,288.26,65.836,13.931
Netherlands,2009,305.176,69.538,13.249
Netherlands,2010,314.223,73.043,12.086
Netherlands,2011,313.416,75.494,12.184
Netherlands,2012,313.598,77.866,11.454
Netherlands,2013,316.425,81.685,11.176
Netherlands,2014,317.186,82.68,10.309
Netherlands,2015,316.389,83.262,9.371
Netherlands,2016,316.279,84.388,8.556
Netherlands,2017,321.059,84.55,7.654
Netherlands,2018,334.143,85.418,7.13
Netherlands,2019,349.318,87.276,6.446
Netherlands,2020,390.377,91.278,5.659
Netherlands,2021,409.171,93.562,4.841
Netherlands,2022,429.746,96.703,5.65
Netherlands,2023,461.217,109.939,7.309
Netherlands,2024,490.849526878971,120.271450093605,8.89195385500745
