Country,Year,Revenue_Total,Revenue_Taxes_Indirect,Revenue_Taxes_Direct,Revenue_Social_Contribution,Revenue_Capital_Transfers,Revenue_Others
Netherlands,1960-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1961-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1962-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1963-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1964-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1965-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1966-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1967-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1968-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1969-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1970-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1971-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1972-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1973-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1974-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1975-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1976-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1977-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1978-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1979-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1980-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1981-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1982-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1983-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1984-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1985-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1986-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1987-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1988-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1989-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1990-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1991-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1992-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1993-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1994-01-01,NA,NA,NA,NA,NA,NA
Netherlands,1995-01-01,152.021,34.343,37.474,53.855,1.206,25.143
Netherlands,1996-01-01,159.58,36.825,40.615,54.172,1.967,26.001
Netherlands,1997-01-01,165.801,39.442,41.469,57.016,1.385,26.489
Netherlands,1998-01-01,173.893,42.415,43.07,60.52,1.625,26.263
Netherlands,1999-01-01,187.21,47.381,45.492,66.234,1.712,26.391
Netherlands,2000-01-01,200.529,50.228,48.522,70.661,1.848,29.27
Netherlands,2001-01-01,210.599,56.641,49.493,69.502,1.895,33.068
Netherlands,2002-01-01,213.99,58.432,52.255,69.413,2.062,31.828
Netherlands,2003-01-01,219.143,60.002,48.776,74.864,1.989,33.512
Netherlands,2004-01-01,227.769,62.566,51.395,75.637,2.038,36.133
Netherlands,2005-01-01,237.32,65.808,55.677,76.714,2.222,36.899
Netherlands,2006-01-01,258.423,70.359,58.657,85.412,2.678,41.317
Netherlands,2007-01-01,267.848,72.54,65.128,85.988,2.264,41.928
Netherlands,2008-01-01,288.237,75.669,71.469,89.891,2.245,48.963
Netherlands,2009-01-01,273.028,71.63,65.605,87.417,2.253,46.123
Netherlands,2010-01-01,280.291,72.91,67.371,92.061,2.264,45.685
Netherlands,2011-01-01,284.421,72.544,70,93.512,2.031,46.334
Netherlands,2012-01-01,288.342,71.293,69.898,96.647,1.774,48.73
Netherlands,2013-01-01,297.383,74.309,69.817,100.17,2.193,50.894
Netherlands,2014-01-01,301.973,78.281,75.721,100.772,1.83,45.369
Netherlands,2015-01-01,303.955,78.938,81.497,99.778,2.173,41.569
Netherlands,2016-01-01,317.914,84.323,84.631,107.929,2.305,38.726
Netherlands,2017-01-01,330.943,87.829,93.613,108.866,2.44,38.195
Netherlands,2018-01-01,345.746,93.145,96.235,115.58,2.242,38.544
Netherlands,2019-01-01,364.103,99.891,104.786,118.959,2.285,38.182
Netherlands,2020-01-01,360.92,101.843,102.481,118.614,2.59,35.392
Netherlands,2021-01-01,389.572,110.269,115.508,121.366,3.128,39.301
Netherlands,2022-01-01,429.861,114.003,133.037,129.683,3.434,49.704
Netherlands,2023-01-01,457.397,118.832,156.259,134.641,3.654,44.011
Netherlands,2024-01-01,488.2404,126.021,169.541,142.7195,3.64332,46.31558
Netherlands,2025-01-01,504.2586,130.8193,170.6261,151.4253,3.779416,47.60848
Netherlands,2026-01-01,523.5806,136.3969,176.2567,158.2243,3.920705,48.78192
