Country,Year,Revenue_Total,Expenditure_Total,Expenditure_Interest,Total_Debt,SFA,IR,Surplus,Primary_Surplus
Spain,1960-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1961-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1962-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1963-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1964-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1965-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1966-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1967-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1968-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1969-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1970-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1971-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1972-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1973-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1974-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1975-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1976-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1977-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1978-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1979-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1980-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1981-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1982-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1983-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1984-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1985-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1986-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1987-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1988-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1989-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1990-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1991-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1992-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1993-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1994-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1995-01-01,171.795,203.062,22.74,283.5,NA,NA,-31.267000000000024,-8.527000000000026
Spain,1996-01-01,180.897,209.578,24.6,320,7.84,8.678565,-28.68100000000001,-4.08100000000001
Spain,1997-01-01,195.271,215.299,23.543,333.6,-6.38,7.3577393,-20.02800000000002,3.5149999999999793
Spain,1998-01-01,213.003,227.597,22.589,346.4,-1.8,6.770735,-14.594000000000023,7.994999999999976
Spain,1999-01-01,230.397,237.779,20.307,362.2,8.42,5.8620102,-7.382000000000005,12.924999999999994
Spain,2000-01-01,245.747,253.267,20.485,374.6,4.81,5.655356,-7.519999999999982,12.965000000000018
Spain,2001-01-01,266.006,269.195,20.815,378.9,1.14,5.5572316,-3.1890000000000214,17.62599999999998
Spain,2002-01-01,287.171,289.527,19.712,384.1,2.91,5.2026615,-2.3559999999999945,17.356000000000005
Spain,2003-01-01,304.787,307.796,18.459,382.8,-4.38,4.8052168,-3.0090000000000146,15.449999999999985
Spain,2004-01-01,332.725,333.666,17.104,389.9,6.17,4.4684214,-0.9409999999999741,16.163000000000025
Spain,2005-01-01,368.206,356.785,16.201,393.5,15.01,4.1552959,11.420999999999992,27.621999999999993
Spain,2006-01-01,407.079,385.757,16.168,392.1,19.98,4.1089868,21.322000000000003,37.49
Spain,2007-01-01,442.451,422.164,17.009,384.7,12.82,4.33757,20.287000000000035,37.296000000000035
Spain,2008-01-01,409.082,459.813,17.542,440.6,5.23,4.5603673,-50.730999999999995,-33.18899999999999
Spain,2009-01-01,373.777,494.353,18.355,569.5,8.34,4.1657116,-120.57600000000002,-102.22100000000002
Spain,2010-01-01,391.624,493.817,20.437,649.2,-22.57,3.5883659,-102.19299999999998,-81.75599999999999
Spain,2011-01-01,387.333,490.908,26.562,743,-9.69,4.0917935,-103.57499999999999,-77.01299999999999
