Country,Year,Expenditure_Total,Expenditure_Interest,Expenditure_Subsidies,Expenditure_Social_Households,Expenditure_Social_Markets,Expenditure_Consumption_Intmd,Expenditure_Compensation_Employees,Expenditure_Other_Curr,Expenditure_Capital_Formation,Expenditure_Capital_Exp_Others
Spain,1960-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1961-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1962-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1963-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1964-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1965-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1966-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1967-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1968-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1969-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1970-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1971-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1972-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1973-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1974-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1975-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1976-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1977-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1978-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1979-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1980-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1981-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1982-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1983-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1984-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1985-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1986-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1987-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1988-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1989-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1990-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1991-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1992-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1993-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1994-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,1995-01-01,203.062,22.74,4.557,60.422,9.511,19.479,50.337,6.381,20.243,9.392
Spain,1996-01-01,209.578,24.6,4.716,63.531,10.15,19.912,53.087,7.305,18.228,8.049
Spain,1997-01-01,215.299,23.543,4.698,65.52,10.37,21.155,54.859,8.423,19.329,7.402
Spain,1998-01-01,227.597,22.589,6.303,67.371,12.127,22.022,57.659,9.732,21.442,8.352
Spain,1999-01-01,237.779,20.307,7.167,70.485,13.491,23.528,61.026,10.452,23.086,8.237
Spain,2000-01-01,253.267,20.485,7.439,75.308,14.783,26.035,64.995,11.183,23.928,9.111
Spain,2001-01-01,269.195,20.815,7.23,79.919,16.03,28.279,69.011,11.462,26.536,9.913
Spain,2002-01-01,289.527,19.712,8.078,86.165,17.928,31.225,73.022,12.154,30.487,10.756
Spain,2003-01-01,307.796,18.459,8.593,91.998,18.657,34.555,78.768,13.854,33.265,9.647
Spain,2004-01-01,333.666,17.104,8.792,98.981,21.135,38.788,84.472,14.506,34.404,15.484
Spain,2005-01-01,356.785,16.201,9.651,105.85,23.38,43.379,90.698,16.173,39.134,12.319
Spain,2006-01-01,385.757,16.168,10.351,113.225,26.168,47.204,98.014,17.705,43.832,13.09
Spain,2007-01-01,422.164,17.009,11.78,123.081,26.04,54.343,107.361,18.231,50.418,13.901
Spain,2008-01-01,459.813,17.542,12.278,136.282,28.898,59.276,118.019,20.594,51.712,15.212
Spain,2009-01-01,494.353,18.355,12.371,154.374,31.749,61.379,125.383,21.401,55.353,13.988
Spain,2010-01-01,493.817,20.437,12.209,161.869,31.638,61.473,124.582,19.212,50.959,11.438
Spain,2011-01-01,490.908,26.562,12.044,162.788,30.613,61.493,122.294,20.523,40.001,14.59
Spain,2012-01-01,509.936,31.353,9.801,167.891,28.779,58.351,113.63,17.921,32.549,49.661
Spain,2013-01-01,473.398,36.553,10.691,170.407,28.398,55.632,114.448,17.754,24.651,14.864
Spain,2014-01-01,467.841,36.706,11.153,170.709,27.857,56.073,115.006,16.889,22.079,11.369
Spain,2015-01-01,474.893,33.368,12.294,170.249,28.413,58.33,119.257,16.494,28.002,8.486
Spain,2016-01-01,472.717,31.226,10.893,173.709,29.411,58.08,121.546,17.619,22.199,8.034
Spain,2017-01-01,479.908,29.613,12.008,177.346,30.234,59.203,123.501,16.484,23.118,8.401
Spain,2018-01-01,503.193,29.593,12.026,185.279,31.451,61.627,127.668,18.197,25.889,11.463
Spain,2019-01-01,526.769,28.231,12.699,196.887,32.854,64.416,134.769,19.685,27.206,10.022
Spain,2020-01-01,580.164,25.127,21.421,228.021,33.604,66.231,140.652,20.729,29.694,14.685
Spain,2021-01-01,611.124,26.17,17.604,227.488,36.096,71.27,148.094,24.26,33.591,26.551
Spain,2022-01-01,637.117,31.775,26.465,228.485,38.293,79.029,154.459,25.168,37.35,16.093
Spain,2023-01-01,680.952,35.707,20.707,251.936,40.968,85.8,163.373,25.177,44.321,12.963
Spain,2024-01-01,722.0429,39.84901,18.45244,269.0676,42.93446,90.519,171.8684,26.17514,48.48717,14.68966
Spain,2025-01-01,757.3324,42.31965,18.79683,282.521,44.73771,95.22599,179.9462,26.96039,52.02674,14.79789
Spain,2026-01-01,790.1031,44.85883,19.06713,296.082,46.07984,98.84458,186.7842,27.76921,55.66861,14.94869
