Country,Year,GDP,GDP_r,GDPPOT,Deflator,pi,GDP_alt,Deflator_alt
Spain,1960,4.555,174.983,NA,2.6031100164015935,NA,NA,NA
Spain,1961,5.188,195.697,NA,2.6510370623974815,0.0182440173915438,NA,NA
Spain,1962,5.995,213.905,NA,2.8026460344545474,0.05561307549948136,NA,NA
Spain,1963,7.075,232.64,NA,3.0411795048143055,0.0816814519288982,NA,NA
Spain,1964,7.988,247.035,NA,3.2335499018357727,0.06133513937514068,NA,NA
Spain,1965,9.266,262.483,264.224,3.5301333800665184,0.08775508040539526,NA,NA
Spain,1966,10.749,281.502,280.394,3.8184453396423472,0.0785077056760004,NA,NA
Spain,1967,12.172,293.72,297.398,4.144082799945526,0.08183812481063168,NA,NA
Spain,1968,13.742,313.097,315.902,4.389055149043268,0.057432490474434994,NA,NA
Spain,1969,15.735,340.986,335.103,4.614558955499639,0.050102319868387646,NA,NA
Spain,1970,17.378,355.463,354.224,4.888835124893449,0.057737763558457944,NA,NA
Spain,1971,19.612,371.989,373.393,5.272198909107527,0.07549346649291588,NA,NA
Spain,1972,23.018,402.303,394.133,5.72155812907187,0.08179364265129885,NA,NA
Spain,1973,27.75,433.637,415.868,6.3993616780855875,0.11195707910745267,NA,NA
Spain,1974,33.984,458.001,437.028,7.420071135215863,0.14799039649729595,NA,NA
Spain,1975,39.9,460.484,454.79,8.664796170985312,0.15507975554507603,NA,NA
Spain,1976,48.016,475.697,471.108,10.0938202259001,0.1526549781287172,NA,NA
Spain,1977,60.925,489.202,485.623,12.453955625692455,0.21011491562381712,NA,NA
Spain,1978,74.571,496.357,497.189,15.023662404277564,0.1875881583973733,NA,NA
Spain,1979,87.232,496.566,507.603,17.5670505028536,0.1563985651131805,NA,NA
Spain,1980,100.229,503.024,516.742,19.925291834982026,0.12596485434533244,NA,NA
Spain,1981,112.457,502.352,522.883,22.386095805331717,0.11645017191331997,NA,NA
Spain,1982,129.325,508.613,528.875,25.42699459117246,0.12737134569806718,NA,NA
Spain,1983,147.256,517.622,537.857,28.448558987060057,0.11228611971656344,NA,NA
Spain,1984,166.168,526.853,544.505,31.539727400242572,0.10315042994111057,NA,NA
Spain,1985,184.64,539.083,555.116,34.250755449531894,0.08246068287341535,NA,NA
Spain,1986,211.386,556.625,571.15,37.976375477206375,0.10325564703819268,NA,NA
Spain,1987,236.373,587.501,587.909,40.2336336448789,0.05773903523090018,NA,NA
Spain,1988,263.159,617.429,609.461,42.62174274289028,0.05766121243998423,NA,NA
Spain,1989,294.89,647.236,632.763,45.561433542015585,0.06669708691498588,NA,NA
Spain,1990,328.459,671.722,655,48.89805604104079,0.07067603891899132,NA,NA
Spain,1991,360.184,688.807,677.587,52.290990074142684,0.06708644038437805,NA,NA
Spain,1992,387.927,695.214,699.531,55.79965305646895,0.06494356942887558,NA,NA
Spain,1993,401.342,688.044,714.499,58.330862561115275,0.04436367652126183,NA,NA
Spain,1994,426.852,704.44,732.632,60.59451479189142,0.038073045730056876,NA,NA
Spain,1995,460.259,723.865,751.298,63.58354112990682,0.04815027559600793,460.588,64.316465204477
Spain,1996,488.946,742.739,767.658,65.83012336769714,0.03472288592336259,489.203,66.5418735864147
Spain,1997,518.971,769.383,785.401,67.45288107483529,0.0243517604592407,519.268,68.1095012133212
Spain,1998,555.559,802.482,805.422,69.23008864996348,0.026006279230953666,555.993,69.8576046911476
Spain,1999,595.242,837.862,829.118,71.04296411580904,0.02584924721382098,595.723,71.6328533654172
Spain,2000,647.569,881.436,852.947,73.46750076012324,0.0335583194887743,647.851,74.0181362403964
