Country,Year,Total_Debt,Expenditure_Interest,Revenue_Total,Expenditure_Total,SFA,IR,Surplus,Primary_Surplus
United States,1961,339.175,17.85,155.839998428344,176.549998428344,NA,NA,-20.710000000000008,-2.8600000000000065
United States,1962,352.389,19.6605,168.60435303833302,190.353353038333,-8.534999999999997,5.7965651949583545,-21.748999999999995,-2.0884999999999962
United States,1963,363.367,21.25475,181.29431468608098,199.636064686081,-7.36375000000001,6.031615629318736,-18.34175000000002,2.9129999999999825
United States,1964,376.365,22.922,187.43765116268798,210.347151162688,-9.911500000000018,6.30822281605099,-22.90950000000001,0.012499999999992184
United States,1965,386.326,24.4605,202.91180233178102,224.423552331781,-11.550749999999965,6.49914311904667,-21.511749999999978,2.9487500000000217
United States,1966,399.041,26.6955,227.514951433439,253.413951433439,-13.184000000000026,6.91009665412113,-25.899,0.7964999999999982
United States,1967,420.017,29.09,243.656480492947,283.87023049294703,-19.237750000000005,7.289977721587507,-40.21375000000003,-11.123750000000033
United States,1968,441.251,32.788,280.20273410269,313.51748410269,-12.080750000000023,7.806350695328998,-33.314750000000004,-0.5267500000000069
United States,1969,452.145,36.63425,314.099258825615,336.746758825615,-11.753500000000031,8.302360787850906,-22.647500000000036,13.986749999999965
United States,1970,481.58,44.38325,318.8675,369.65275,-21.350250000000017,9.81615410985414,-50.78525000000002,-6.402000000000022
United States,1971,529.71,48.62075,339.62025,404.565,-16.814749999999947,10.09608995390174,-64.94475,-16.323999999999998
United States,1972,562.617,53.46375,388.03075,442.50575,-21.56800000000004,10.093022597270203,-54.474999999999966,-1.0112499999999685
United States,1973,588.981,61.98,434.94425,478.22525,-16.916999999999973,11.01637526061246,-43.281000000000006,18.69899999999999
United States,1974,621.683,69.526,480.9265,537.19325,-23.564750000000004,11.804455491773078,-56.26675000000006,13.259249999999938
United States,1975,730.744,77.40325,496.015,624.709,-19.632999999999925,12.450597812711624,-128.69399999999996,-51.29074999999996
United States,1976,817.096,86.72425,565.62425,669.2655,-17.289250000000038,11.86793870356787,-103.64125000000001,-16.917000000000016
United States,1977,885.032,95.7525,634.85425,723.3305,-20.540250000000015,11.718635264399776,-88.47625000000005,7.276249999999948
United States,1978,975.748,112.44625,718.9425,800.82175,8.836750000000052,12.70533155863291,-81.87924999999996,30.56700000000005
United States,1979,1056.755,128.4595,812.26375,889.75275,3.518000000000029,13.165233236450394,-77.48900000000003,50.97049999999996
United States,1980,1167.721,148.75575,893.984,1020.8965,-15.946500000000015,14.0766544752568,-126.91249999999991,21.843250000000097
United States,1981,1284.086,180.093,1025.30675,1153.3675,-11.69575000000009,15.42260522847495,-128.0607500000001,52.03224999999989
United States,1982,1494.401,206.165,1058.2855,1277.5025,-8.902000000000044,16.055388813521834,-219.2170000000001,-13.052000000000106
United States,1983,1730.171,227.96475,1127.3535,1389.41875,-26.295250000000124,15.254590300729188,-262.0652500000001,-34.100500000000096
United States,1984,1989.159,260.064,1249.8965,1495.24625,13.638250000000198,15.03111542153926,-245.34974999999986,14.714250000000163
United States,1985,2339.158,285.77925,1363.87175,1634.745,79.12574999999993,14.366837945081311,-270.87324999999987,14.90600000000012
United States,1986,2626.769,302.683,1452.3105,1747.33,-7.408500000000004,12.939827065978443,-295.0194999999999,7.663500000000113
