Country,Year,Annual total dep. ratio [(0-14 & 65+) / 15-64] (%),Annual total dep. ratio [(0-19 & 65+) / 20-64] (%),Annual total dep. ratio [(0-19 & 70+) / 20-69] (%),Annual total dep. ratio [(0-24 & 70+) / 25-69] (%),Annual total dep. ratio [(0-24 & 65+) / 25-64] (%),Annual child dep. ratio [0-14 / 15-64] (%),Annual child dep. ratio [0-19 / 20-64] (%),Annual child dep. ratio [0-19 / 20-69] (%),Annual child dep. ratio [0-24 / 25-69] (%),Annual child dep. ratio [0-24 / 25-64] (%),Annual old-age dep. ratio [65+ / 15-64] (%),Annual old-age dep. ratio [65+ / 20-64] (%),Annual old-age dep. ratio [70+ / 20-69] (%),Annual old-age dep. ratio [70+ / 25-69] (%),Annual old-age dep. ratio [65+ / 25-64] (%),Annual potential support ratio [15-64/65+],Annual potential support ratio [20-64/65+],Annual potential support ratio [20-69/70+],Annual potential support ratio [25-69/70+],Annual potential support ratio [25-64/65+]
Italy,1950,53.223,76.829,67.393,95.757,108.786,40.825,62.521,59.185,86.158,91.893,12.398,14.308,8.208,9.599,16.894,8.066,6.989,12.183,10.418,5.919
Italy,1951,53.001,76.072,66.58,94.427,107.481,40.436,61.612,58.291,84.751,90.442,12.565,14.459,8.289,9.675,17.039,7.959,6.916,12.064,10.336,5.869
Italy,1952,52.71,75.322,65.79,92.942,105.975,39.981,60.708,57.408,83.187,88.806,12.729,14.614,8.382,9.755,17.169,7.856,6.843,11.93,10.251,5.825
Italy,1953,52.189,74.485,64.886,91.296,104.338,39.288,59.694,56.41,81.462,87.016,12.901,14.791,8.477,9.834,17.322,7.751,6.761,11.797,10.169,5.773
Italy,1954,51.705,73.834,64.166,89.883,102.938,38.597,58.813,55.543,79.909,85.403,13.108,15.02,8.624,9.974,17.535,7.629,6.658,11.596,10.026,5.703
Italy,1955,51.41,73.428,63.725,88.718,101.728,38.07,58.148,54.895,78.54,83.955,13.34,15.28,8.83,10.178,17.773,7.496,6.545,11.325,9.825,5.627
Italy,1956,51.283,73.117,63.38,87.6,100.552,37.771,57.655,54.412,77.302,82.639,13.512,15.463,8.968,10.298,17.913,7.401,6.467,11.15,9.711,5.582
Italy,1957,51.445,72.936,63.156,86.819,99.754,37.75,57.298,54.057,76.401,81.691,13.694,15.638,9.098,10.418,18.063,7.302,6.395,10.991,9.599,5.536
Italy,1958,51.773,72.688,62.893,86.312,99.238,37.823,56.816,53.593,75.675,80.925,13.95,15.873,9.3,10.637,18.313,7.168,6.3,10.752,9.401,5.461
Italy,1959,52.206,72.384,62.59,85.961,98.885,37.965,56.255,53.059,75.06,80.277,14.241,16.129,9.531,10.901,18.608,7.022,6.2,10.492,9.174,5.374
