Country,Year,Annual total dep. ratio [(0-14 & 65+) / 15-64] (%),Annual total dep. ratio [(0-19 & 65+) / 20-64] (%),Annual total dep. ratio [(0-19 & 70+) / 20-69] (%),Annual total dep. ratio [(0-24 & 70+) / 25-69] (%),Annual total dep. ratio [(0-24 & 65+) / 25-64] (%),Annual child dep. ratio [0-14 / 15-64] (%),Annual child dep. ratio [0-19 / 20-64] (%),Annual child dep. ratio [0-19 / 20-69] (%),Annual child dep. ratio [0-24 / 25-69] (%),Annual child dep. ratio [0-24 / 25-64] (%),Annual old-age dep. ratio [65+ / 15-64] (%),Annual old-age dep. ratio [65+ / 20-64] (%),Annual old-age dep. ratio [70+ / 20-69] (%),Annual old-age dep. ratio [70+ / 25-69] (%),Annual old-age dep. ratio [65+ / 25-64] (%),Annual potential support ratio [15-64/65+],Annual potential support ratio [20-64/65+],Annual potential support ratio [20-69/70+],Annual potential support ratio [25-69/70+],Annual potential support ratio [25-64/65+]
Italy,2024,57.523,70.684,54.12,67.256,86.944,18.733,28.654,25.873,36.601,40.91,38.79,42.031,28.247,30.655,46.035,2.578,2.379,3.54,3.262,2.172
Italy,2025,58.116,71.438,54.3,67.663,88.094,18.432,28.41,25.57,36.445,40.886,39.684,43.028,28.73,31.218,47.208,2.52,2.324,3.481,3.203,2.118
Italy,2026,58.816,72.226,54.538,68.163,89.32,18.16,28.138,25.248,36.29,40.856,40.656,44.089,29.29,31.873,48.464,2.46,2.268,3.414,3.138,2.063
Italy,2027,59.643,73.079,54.74,68.657,90.678,17.922,27.847,24.896,36.13,40.847,41.72,45.232,29.843,32.527,49.831,2.397,2.211,3.351,3.074,2.007
Italy,2028,60.685,74.1,54.967,69.153,92.211,17.74,27.57,24.54,35.941,40.84,42.945,46.53,30.427,33.212,51.371,2.329,2.149,3.287,3.011,1.947
Italy,2029,61.904,75.267,55.317,69.713,93.819,17.608,27.315,24.206,35.718,40.792,44.296,47.952,31.111,33.995,53.027,2.258,2.085,3.214,2.942,1.886
Italy,2030,63.277,76.596,55.821,70.373,95.523,17.511,27.096,23.909,35.481,40.718,45.766,49.499,31.912,34.892,54.804,2.185,2.02,3.134,2.866,1.825
Italy,2031,64.723,78.011,56.426,71.064,97.215,17.443,26.917,23.653,35.224,40.609,47.28,51.094,32.773,35.84,56.607,2.115,1.957,3.051,2.79,1.767
Italy,2032,66.195,79.456,57.151,71.816,98.836,17.406,26.774,23.446,34.966,40.465,48.789,52.682,33.705,36.851,58.372,2.05,1.898,2.967,2.714,1.713
Italy,2033,67.792,81.026,58.085,72.737,100.5,17.431,26.693,23.31,34.739,40.322,50.361,54.333,34.775,37.998,60.178,1.986,1.841,2.876,2.632,1.662
Italy,2034,69.483,82.658,59.195,73.803,102.153,17.525,26.661,23.236,34.545,40.179,51.958,55.997,35.959,39.259,61.973,1.925,1.786,2.781,2.547,1.614
Italy,2035,71.222,84.307,60.455,75.028,103.799,17.669,26.661,23.211,34.402,40.057,53.553,57.646,37.244,40.627,63.742,1.867,1.735,2.685,2.461,1.569
Italy,2036,73.034,86.063,61.78,76.335,105.579,17.84,26.713,23.226,34.313,40.004,55.194,59.35,38.553,42.022,65.576,1.812,1.685,2.594,2.38,1.525
Italy,2037,74.886,87.895,63.133,77.675,107.451,18.033,26.813,23.279,34.268,40.011,56.853,61.083,39.854,43.407,67.44,1.759,1.637,2.509,2.304,1.483
Italy,2038,76.793,89.81,64.611,79.139,109.391,18.275,26.983,23.401,34.292,40.083,58.518,62.827,41.21,44.847,69.308,1.709,1.592,2.427,2.23,1.443
Italy,2039,78.757,91.852,66.172,80.655,111.421,18.555,27.241,23.595,34.367,40.219,60.201,64.611,42.578,46.289,71.202,1.661,1.548,2.349,2.16,1.404
Italy,2040,80.688,93.935,67.77,82.177,113.448,18.842,27.555,23.837,34.472,40.389,61.846,66.38,43.933,47.706,73.059,1.617,1.506,2.276,2.096,1.369
Italy,2041,82.486,95.869,69.423,83.793,115.333,19.13,27.867,24.104,34.63,40.573,63.356,68.002,45.319,49.162,74.76,1.578,1.471,2.207,2.034,1.338
