Country,Year,0,0-4,0-14,0-19,0-24,1-4,5-14,15+,15-24,15-49,15-59,15-64,20+,20-64,20-69,25+,25-69,40+,50+,60+,65+,70+,80+,90+,100+
Italy,1950,58.445,75.19,82.017,86.817,93.334,16.744,6.827,370.15,11.317,59.712,103.033,135.455,365.35,130.655,173.402,358.833,166.885,337.022,310.438,267.117,234.695,191.948,79.991,8.257,0.054
Italy,1951,56.428,72.13,78.747,83.354,89.58,15.703,6.617,402.434,10.833,59.772,105.287,139.554,397.827,134.947,181.492,391.601,175.266,370.092,342.662,297.147,262.88,216.335,91.772,9.569,0.069
Italy,1952,53.583,67.74,74.113,78.111,83.443,14.157,6.373,400.547,9.33,54.42,100.027,134.643,396.549,130.645,177.214,391.217,171.882,372.344,346.127,300.52,265.904,219.335,93.753,10.005,0.079
Italy,1953,48.746,60.314,66.488,70.222,75.153,11.568,6.174,405.954,8.665,52.396,98.181,133.383,402.22,129.649,177.671,397.289,172.74,379.529,353.558,307.773,272.571,224.549,95.069,10.222,0.083
Italy,1954,46.953,56.413,61.993,65.67,70.459,9.461,5.58,380.407,8.466,50.788,95.263,128.595,376.73,124.918,169.82,371.941,165.031,354.678,329.619,285.144,251.812,206.91,87.939,9.962,0.084
Italy,1955,44.289,52.863,58.364,62.109,66.776,8.575,5.501,388.134,8.412,50.705,95.853,129.529,384.389,125.784,170.993,379.722,166.326,362.456,337.429,292.281,258.605,213.396,90.647,10.687,0.095
Italy,1956,42.82,50.849,56.136,59.693,64.007,8.029,5.287,441.614,7.871,50.666,101.013,138.444,438.057,134.887,185.925,433.743,181.611,416.973,390.948,340.601,303.17,252.132,110.99,13.125,0.116
Italy,1957,44.532,53.117,58.676,62.407,66.823,8.586,5.559,425.314,8.147,51.051,102.016,139.57,421.583,135.839,186.909,417.167,182.493,399.479,374.263,323.298,285.744,234.674,101.333,12.019,0.118
Italy,1958,42.175,50.37,55.346,58.691,62.751,8.194,4.976,402.068,7.405,47.042,95.264,130.723,398.723,127.378,174.285,394.663,170.225,377.935,355.026,306.804,271.345,224.438,98.83,11.52,0.121
Italy,1959,41.497,48.965,53.805,57.023,61.098,7.467,4.84,400.61,7.293,46.42,95.289,130.993,397.392,127.775,173.801,393.317,169.726,375.968,354.19,305.321,269.617,223.591,99.707,11.93,0.135
Italy,1960,39.606,46.548,51.087,54.123,58.123,6.942,4.539,429.05,7.036,46.517,97.475,135.436,426.014,132.4,181.165,422.014,177.165,404.732,382.533,331.575,293.614,244.849,111.454,13.992,0.163
Italy,1961,38.077,44.218,48.73,51.858,56.003,6.141,4.512,419.472,7.273,45.724,96.653,134.57,416.344,131.442,178.65,412.199,174.505,395.147,373.748,322.819,284.902,237.694,108.529,13.44,0.159
Italy,1962,38.993,45.231,49.567,52.788,56.867,6.238,4.336,459.096,7.3,46.299,100.895,142.066,455.875,138.845,190.383,451.796,186.304,434.724,412.797,358.201,317.03,265.492,122.694,15.453,0.185
Italy,1963,38.51,44.329,48.659,52.283,56.534,5.819,4.33,468.077,7.875,47.575,102.988,145.237,464.453,141.613,194.694,460.202,190.443,442.638,420.502,365.089,322.84,269.759,125.096,15.906,0.198
Italy,1964,36.955,42.208,46.073,49.317,53.022,5.252,3.865,444.109,6.949,44.046,97.991,139.153,440.865,135.909,186.856,437.16,183.151,421.037,400.063,346.118,304.956,254.009,117.71,14.804,0.189
Italy,1965,34.999,40.01,43.756,46.987,50.247,5.011,3.746,473.609,6.491,43.427,98.519,142.154,470.378,138.923,193.845,467.118,190.585,451.347,430.182,375.09,331.455,276.533,130.793,17.187,0.22
Italy,1966,33.584,38.19,41.728,44.846,47.978,4.606,3.538,454.175,6.25,41.267,94.368,136.508,451.057,133.39,186.695,447.925,183.563,433.392,412.908,359.807,317.667,264.362,126.149,17.101,0.22
Italy,1967,31.023,35.373,38.862,41.92,45.237,4.35,3.489,471.265,6.375,42.411,95.514,138.588,468.207,135.53,191.021,464.89,187.704,450.346,428.854,375.751,332.677,277.186,133.838,18.945,0.239
Italy,1968,30.183,34.463,38.103,41.087,44.307,4.279,3.64,495.298,6.204,43.679,96.023,141.247,492.314,138.263,196.246,489.094,193.026,474.903,451.619,399.275,354.051,296.068,145.368,20.582,0.253
Italy,1969,28.751,32.778,36.374,39.405,42.839,4.027,3.596,502.621,6.465,45.817,97.961,147.103,499.59,144.072,206.549,496.156,203.115,481.973,456.804,404.66,355.518,293.041,137.255,19.126,0.24
Italy,1970,26.343,30.02,33.643,36.664,40.113,3.676,3.623,487.869,6.47,44.347,92.45,138.76,484.848,135.739,193.335,481.399,189.886,468.061,443.522,395.419,349.109,291.513,142.857,21.245,0.277
Italy,1971,25.903,29.181,32.685,35.551,39.045,3.278,3.504,490.815,6.36,43.443,90.676,137.191,487.949,134.325,192.11,484.455,188.616,471.38,447.372,400.139,353.624,295.839,147.531,21.817,0.29
Italy,1972,23.751,26.676,30.148,33.145,36.608,2.925,3.472,494.384,6.46,43.737,90.491,137.475,491.387,134.478,193.859,487.924,190.396,474.89,450.647,403.893,356.909,297.528,147.261,22.79,0.313
Italy,1973,22.609,25.296,28.794,31.775,35.007,2.686,3.498,519.235,6.213,42.787,88.673,136.21,516.254,133.229,194.869,513.022,191.637,500.353,476.448,430.562,383.025,321.385,162.982,26.433,0.364
Italy,1974,19.831,22.077,25.138,27.869,30.66,2.246,3.061,506.761,5.522,40.804,85.785,132.234,504.03,129.503,191.114,501.239,188.323,489.4,465.957,420.976,374.527,312.916,157.711,26.157,0.376
Italy,1975,17.016,19.174,22.245,25.1,28.101,2.158,3.071,531.686,5.856,40.824,86.913,134.195,528.831,131.34,196.449,525.83,193.448,514.087,490.862,444.773,397.491,332.382,166.627,27.861,0.411
Italy,1976,14.881,16.866,19.867,22.637,25.536,1.985,3.001,529.692,5.669,40.208,86.847,132.025,526.922,129.255,194.123,524.023,191.224,512.401,489.484,442.845,397.667,332.799,166.41,28.588,0.438
Italy,1977,13.12,14.917,17.845,20.597,23.54,1.797,2.928,526.823,5.695,38.934,86.983,128.396,524.071,125.644,190.481,521.128,187.538,509.943,487.889,439.84,398.427,333.59,167.758,29.838,0.474
Italy,1978,11.867,13.579,16.36,18.986,21.747,1.711,2.781,522.375,5.387,37.67,88.644,125.894,519.749,123.268,187.474,516.988,184.713,506.048,484.705,433.731,396.481,332.275,166.141,29.893,0.484
Italy,1979,10.224,11.733,14.367,17.211,20.196,1.51,2.634,521.685,5.829,37.635,90.467,123.728,518.841,120.884,183.959,515.856,180.974,505.011,484.05,431.218,397.957,334.882,168.921,30.963,0.518
Italy,1980,9.209,10.76,13.672,16.81,19.975,1.552,2.912,537.613,6.303,38.057,91.915,124.213,534.475,121.075,184.576,531.31,181.411,520.247,499.556,445.698,413.4,349.899,176.433,32.945,0.556
Italy,1981,8.773,10.031,12.32,15.31,18.364,1.258,2.289,533.338,6.044,36.277,89.166,122.212,530.348,119.222,179.15,527.294,176.096,516.944,497.061,444.172,411.126,351.198,179.571,33.41,0.593
Italy,1982,8.068,9.191,11.349,14.244,17.282,1.123,2.158,524.948,5.933,35.275,86.345,121.66,522.053,118.765,172.827,519.015,169.789,508.79,489.673,438.603,403.288,349.226,176.814,33.156,0.628
Italy,1983,7.194,8.381,10.412,13.243,16.358,1.186,2.031,555.123,5.946,35.259,87.063,127.38,552.292,124.549,175.556,549.177,172.441,538.801,519.864,468.06,427.743,376.736,194.594,37.317,0.73
Italy,1984,6.551,7.501,9.324,11.925,15.043,0.949,1.823,526.441,5.719,33.779,82.74,125.257,523.84,122.656,166.802,520.722,163.684,510.72,492.662,443.701,401.184,357.038,183.465,34.727,0.712
Italy,1985,5.927,6.841,8.606,11.25,14.357,0.914,1.765,540.179,5.751,33.184,81.261,125.103,537.535,122.459,165.203,534.428,162.096,524.312,506.995,458.918,415.076,372.332,194.56,37.902,0.823
Italy,1986,5.522,6.285,7.919,10.233,13.302,0.763,1.634,538.143,5.383,32.963,79.453,122.41,535.829,120.096,164.043,532.76,160.974,522.623,505.18,458.69,415.733,371.786,198.341,38.526,0.861
Italy,1987,5.355,6.182,7.661,9.955,13.141,0.828,1.479,526.43,5.48,32.569,77.479,119.637,524.136,117.343,163.187,520.95,160.001,510.701,493.861,448.951,406.793,360.949,196.46,38.831,0.908
