Country,Year,0,0-4,0-14,0-19,0-24,1-4,5-14,15+,15-24,15-49,15-59,15-64,20+,20-64,20-69,25+,25-69,40+,50+,60+,65+,70+,80+,90+,100+
Italy,2024,0.855,1.026,1.337,1.843,2.595,0.171,0.311,663.155,1.258,13.498,40.581,64.936,662.649,64.43,97.11,661.897,96.358,658.238,649.657,622.574,598.219,565.539,445.045,189.645,10.546
Italy,2025,0.819,0.981,1.274,1.768,2.509,0.163,0.293,665.362,1.235,12.901,39.277,63.732,664.868,63.238,96.027,664.127,95.286,660.581,652.461,626.085,601.63,568.841,448.249,194.004,11.11
Italy,2026,0.786,0.94,1.218,1.699,2.43,0.155,0.278,668.183,1.212,12.353,37.999,62.535,667.702,62.054,94.868,666.971,94.137,663.526,655.83,630.184,605.648,572.834,452.64,198.071,11.616
Italy,2027,0.757,0.905,1.17,1.635,2.36,0.148,0.265,671.367,1.19,11.867,36.798,61.322,670.902,60.857,93.92,670.177,93.195,666.819,659.5,634.569,610.045,576.982,458.43,202.127,12.094
Italy,2028,0.73,0.871,1.122,1.569,2.286,0.143,0.251,674.059,1.164,11.41,35.52,59.819,673.612,59.372,92.829,672.895,92.112,669.634,662.649,638.539,614.24,580.783,464.41,207.352,12.554
Italy,2029,0.706,0.843,1.081,1.51,2.217,0.138,0.238,677.856,1.136,11.028,34.35,58.31,677.427,57.881,91.736,676.72,91.029,673.549,666.828,643.506,619.546,585.691,470.77,213.958,13.104
Italy,2030,0.681,0.813,1.039,1.448,2.139,0.132,0.226,680.057,1.1,10.638,33.092,56.456,679.648,56.047,90.064,678.957,89.373,675.882,669.419,646.965,623.601,589.584,475.73,219.789,13.661
Italy,2031,0.661,0.79,1.006,1.397,2.07,0.128,0.216,683.827,1.064,10.296,31.905,54.758,683.436,54.367,88.594,682.763,87.921,679.77,673.531,651.922,629.069,594.842,481.08,224.927,14.238
Italy,2032,0.642,0.766,0.972,1.346,1.998,0.125,0.206,686.912,1.026,9.958,30.664,53.022,686.538,52.648,86.862,685.886,86.21,682.974,676.954,656.248,633.89,599.676,485.611,227.835,14.757
Italy,2033,0.623,0.743,0.939,1.295,1.922,0.12,0.196,689.75,0.983,9.638,29.398,51.181,689.394,50.825,84.729,688.767,84.102,685.927,680.112,660.352,638.569,604.665,489.912,229.019,15.139
Italy,2034,0.608,0.725,0.914,1.254,1.856,0.117,0.189,693.523,0.942,9.359,28.167,49.424,693.183,49.084,82.472,692.581,81.87,689.797,684.164,665.356,644.099,610.711,494.961,230.469,15.622
Italy,2035,0.592,0.706,0.888,1.211,1.788,0.114,0.182,697.148,0.9,9.097,26.946,47.689,696.825,47.366,79.984,696.248,79.407,693.518,688.051,670.202,649.459,616.841,500.191,232.277,16.162
Italy,2036,0.579,0.691,0.867,1.174,1.728,0.112,0.176,701.679,0.861,8.867,25.839,45.967,701.372,45.66,77.559,700.818,77.005,698.138,692.812,675.84,655.712,623.813,506.449,236.224,16.644
Italy,2037,0.565,0.674,0.844,1.136,1.667,0.109,0.17,705.589,0.823,8.648,24.798,44.172,705.297,43.88,75.083,704.766,74.552,702.137,696.941,680.791,661.417,630.214,512.161,242.844,17.156
Italy,2038,0.551,0.657,0.822,1.101,1.609,0.107,0.165,709.641,0.787,8.41,23.849,42.386,709.362,42.107,72.533,708.854,72.025,706.28,701.231,685.792,667.255,636.829,518.077,250.503,17.957
Italy,2039,0.536,0.64,0.801,1.068,1.553,0.104,0.161,714.143,0.752,8.154,22.996,40.601,713.876,40.334,70.018,713.391,69.533,710.872,705.989,691.147,673.542,643.858,524.92,257.998,18.984
Italy,2040,0.52,0.621,0.777,1.034,1.495,0.102,0.156,718.098,0.718,7.894,22.185,38.803,717.841,38.546,67.472,717.38,67.011,714.92,710.204,695.913,679.295,650.369,532.035,264.337,19.792
Italy,2041,0.504,0.603,0.755,1.003,1.443,0.099,0.152,722.723,0.688,7.65,21.435,37.168,722.475,36.92,64.948,722.035,64.508,719.631,715.073,701.288,685.555,657.527,539.781,269.762,20.361
Italy,2042,0.488,0.585,0.734,0.973,1.394,0.097,0.149,727.588,0.66,7.42,20.726,35.678,727.349,35.439,62.41,726.928,61.989,724.576,720.168,706.862,691.91,664.939,548.036,274.401,20.496
Italy,2043,0.475,0.569,0.715,0.948,1.353,0.093,0.146,734.232,0.638,7.24,20.158,34.446,733.999,34.213,60.102,733.594,59.697,731.29,726.992,714.074,699.786,673.897,558.114,279.051,20.399
Italy,2044,0.457,0.548,0.69,0.916,1.304,0.092,0.142,738.482,0.614,7.041,19.524,33.142,738.256,32.916,57.436,737.868,57.048,735.638,731.441,718.958,705.34,680.82,567.313,283.5,20.534
Italy,2045,0.44,0.528,0.667,0.887,1.262,0.087,0.139,743.829,0.595,6.876,18.993,32.023,743.609,31.803,54.968,743.234,54.593,741.075,736.953,724.836,711.806,688.641,577.664,288.763,20.939
Italy,2046,0.424,0.51,0.647,0.862,1.226,0.086,0.137,750.214,0.579,6.732,18.548,31.023,749.999,30.808,52.785,749.635,52.421,747.545,743.482,731.666,719.191,697.214,588.773,295.058,21.909
Italy,2047,0.407,0.49,0.624,0.834,1.186,0.082,0.134,755.876,0.562,6.58,18.11,30.011,755.666,29.801,50.682,755.314,50.33,753.299,749.296,737.766,725.865,704.984,599.415,300.866,23.516
Italy,2048,0.391,0.471,0.602,0.807,1.149,0.079,0.131,761.719,0.547,6.428,17.632,29.095,761.514,28.89,48.771,761.172,48.429,759.235,755.291,744.087,732.624,712.743,610.403,306.985,25.133
Italy,2049,0.375,0.452,0.58,0.781,1.114,0.077,0.128,767.732,0.534,6.28,17.117,28.265,767.531,28.064,47.052,767.198,46.719,765.339,761.452,750.615,739.467,720.479,621.507,314.514,26.418
Italy,2050,0.36,0.433,0.558,0.755,1.08,0.073,0.125,773.804,0.522,6.134,16.619,27.506,773.607,27.309,45.472,773.282,45.147,771.499,767.67,757.185,746.298,728.135,632.551,323.5,27.275
Italy,2051,0.345,0.416,0.537,0.731,1.048,0.071,0.121,779.806,0.511,5.992,16.128,26.81,779.612,26.616,43.96,779.295,43.643,777.585,773.814,763.678,752.996,735.652,643.678,332.932,27.835
Italy,2052,0.331,0.399,0.518,0.708,1.018,0.067,0.119,785.664,0.5,5.859,15.667,26.186,785.474,25.996,42.539,785.164,42.229,783.522,779.805,769.997,759.478,742.935,654.701,343.02,28.263
