Country,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
Italy,1950,872.5195,888.0125,905.4965,896.943,804.794,722.489,735.725,758.4865,774.776,826.4265,868.36,865.0665,835.963,800.869,804.7145,811.709,804.035,797.3295,802.5005,826.4395,824.887,802.791,799.092,796.8935,791.9345,786.7325,782.831,782.523,775.21,762.06,646.953,467.599,424.067,489.429,606.7675,684.276,703.911,707.19,686.3695,679.1725,681.555,667.916,641.9085,615.9875,600.683,584.8105,560.2195,543.5355,532.9465,522.959,512.556,492.918,479.694,466.7535,446.8735,430.4705,421.318,414.1645,403.406,390.942,385.2035,380.416,369.057,351.438,336.881,328.7365,312.388,295.5325,281.5585,260.743,244.214,231.966,219.296,211.6905,198.9875,171.902,148.9485,135.5615,121.5635,106.2985,92.612,77.639,64.5665,56.85,47.753,37.8255,30.155,22.9365,16.574,11.9935,8.6725,6.0625,4.0465,2.6535,1.657,0.977,0.5865,0.3575,0.2065,0.1085,0.0975
Italy,1951,839.687,846.2635,878.297,898.798,891.334,805.1485,730.15,744.4915,760.233,772.799,828.2165,865.774,862.113,833.6245,798.906,803.24,807.9995,801.5265,792.7055,798.4455,822.722,821.0175,795.758,792.2045,787.9145,784.472,779.5315,776.737,774.83,768.0355,753.274,647.5845,453.0845,421.1195,484.77,603.0355,680.9445,702.86,710.7745,690.136,685.125,683.1665,666.2405,639.565,614.3675,598.9155,583.3595,558.67,540.4585,530.826,520.735,510.2105,489.3035,476.1845,462.57,442.9255,427.0065,416.1205,409.473,398.725,386.361,379.2805,374.9135,362.8095,344.6465,328.878,321.216,304.0485,286.6,272.149,250.7175,234.023,220.364,207.721,199.1695,185.699,158.893,137.446,123.5765,109.8675,94.7945,81.4965,67.4425,55.347,47.9185,39.541,30.794,24.0925,17.963,12.746,9.014,6.356,4.3335,2.825,1.806,1.091,0.629,0.367,0.2175,0.1225,0.1165
Italy,1952,812.2405,815.9035,839.718,873.4125,894.9365,887.312,807.548,737.0485,745.5105,755.741,772.1795,823.64,859.495,857.0345,828.196,794.0445,795.6775,801.8615,793.8205,785.585,791.917,817.081,811.73,787.8495,782.4665,779.8735,776.6665,773.2985,769.0265,768.596,757.6445,755.941,632.4805,450.6885,416.7855,481.4765,599.5245,678.2805,705.306,712.717,695.0905,686.747,681.213,663.809,637.728,612.4425,597.2175,581.7745,555.3765,538.2415,528.3755,518.489,506.614,485.87,471.9955,458.305,439.405,421.7055,411.4725,404.586,394.0735,380.3545,373.563,368.624,355.7685,336.252,321.2965,312.4205,294.755,277.178,261.459,240.518,222.2795,208.501,195.3685,185.669,171.1045,146.2745,125.0795,111.1885,97.407,82.9785,70.219,57.3075,46.288,39.287,31.774,24.28,18.627,13.591,9.4225,6.5105,4.4675,2.967,1.886,1.174,0.6895,0.386,0.219,0.1265,0.132
Italy,1953,805.5675,795.932,812.7705,839.2965,872.9535,893.913,885.5555,806.2055,735.9585,743.478,752.606,768.737,818.9545,854.799,852.385,822.331,787.4045,788.3695,794.9365,787.716,779.791,786.816,811.929,806.929,784.236,779.787,777.82,774.901,772.37,768.691,768.767,758.033,756.56,632.884,450.8715,416.392,481.225,599.114,678.2355,705.844,713.2955,695.8705,687.18,681.481,664.181,637.988,612.4015,596.921,581.2965,554.839,537.401,527.206,517.367,504.9765,483.9135,469.749,455.4925,436.3675,418.407,407.8985,400.6835,389.6715,375.411,368.1215,362.597,349.146,329.061,313.467,304.0695,286.045,267.808,251.559,230.2225,211.246,196.8065,183.1695,172.384,157.4145,133.596,113.01,98.5895,85.3315,71.574,59.6065,47.899,37.972,31.604,25.112,18.817,14.1115,10.042,6.814,4.6075,3.095,2.0065,1.234,0.7475,0.428,0.2335,0.1285,0.1445
Italy,1954,820.3375,791.7185,793.6395,812.8845,839.785,873.0315,892.9665,884.1715,804.7135,734.9545,741.8995,749.507,764.993,814.823,850.0745,847.6555,816.266,780.477,781.091,788.1575,781.509,773.9705,781.7565,806.86,802.063,780.7985,777.287,775.754,773.49,771.618,768.536,768.965,758.7115,756.1735,632.45,450.5875,416.4915,481.5985,599.183,678.4215,706.455,713.753,696.4415,687.51,681.6185,664.5295,637.8775,612.1975,596.572,580.649,554,536.2355,525.989,515.9285,503.136,481.665,466.981,452.5085,432.948,414.806,404.242,396.4735,384.8445,370.1145,362.3595,356.2555,341.9625,321.45,305.432,295.3275,276.7665,257.969,241.345,219.662,199.984,185.141,170.8835,159.3065,144.347,121.4725,101.0985,86.9305,74.294,61.3695,50.217,39.726,30.9545,25.314,19.737,14.495,10.6275,7.4125,4.9385,3.263,2.1425,1.3535,0.8085,0.478,0.267,0.141,0.1565
Italy,1955,834.674,806.0635,788.9685,792.271,812.0355,838.9365,871.5645,890.6115,881.1715,801.858,732.54,738.4995,744.535,759.667,808.518,843.158,840.7705,808.1675,771.7425,771.9535,779.3115,773.359,766.195,774.721,799.7015,795.223,775.191,772.433,771.368,769.374,767.926,765.27,766.12,756.0205,753.4145,630.502,449.2505,415.057,479.8005,596.588,675.6,703.9485,711.129,693.999,684.8935,678.7875,661.852,635.0015,609.335,593.403,577.2675,550.542,532.635,522.2415,512.157,498.8785,477.072,462.1975,447.3695,427.6845,409.404,398.699,390.3535,378.2295,363.099,354.966,348.024,333.306,312.409,296.0525,285.1885,266.2145,247.0985,230.263,208.165,188.212,172.947,158.3785,146.272,131.184,109.2645,89.825,76.2965,64.364,52.3725,42.1505,32.809,25.1825,20.2245,15.4335,11.0795,7.9735,5.4675,3.5465,2.2955,1.472,0.9035,0.526,0.303,0.1645,0.1725
Italy,1956,836.5125,821.437,802.5035,787.8165,791.4435,811.462,838.2665,870.1875,888.3435,878.265,799.034,730.1685,735.0835,739.5675,754.329,802.1795,836.2265,833.8515,800.0245,762.982,762.797,770.5235,765.235,758.4605,767.6665,792.6025,788.365,769.6375,767.604,766.999,765.2505,764.257,762.072,763.179,753.2865,750.5905,628.514,447.896,413.591,477.9905,593.8955,672.6885,701.3195,708.303,691.449,682.0735,675.6905,658.876,631.816,606.053,589.9055,573.42,546.709,528.631,518.0255,507.8185,494.1575,471.9505,456.7775,441.626,421.612,403.299,392.37,383.2965,370.767,355.228,346.5115,338.8965,323.42,302.22,285.349,273.6245,254.362,234.806,217.5535,195.2675,175.236,159.423,144.6095,131.859,116.7265,96.22,78.1215,65.306,54.248,43.3805,34.211,26.161,19.7675,15.4715,11.495,8.0865,5.6865,3.8135,2.431,1.5245,0.9495,0.566,0.321,0.1795,0.1875
Italy,1957,840.264,823.569,817.36,800.199,787.0755,790.831,811.054,837.6835,868.888,886.139,875.355,796.1935,727.752,731.664,734.568,748.9355,795.7815,829.241,826.891,791.838,754.2085,753.629,761.7645,757.112,750.729,760.6305,785.478,781.532,764.066,762.7915,762.6495,761.15,760.6135,758.7975,760.2325,750.4495,747.7665,626.4285,446.454,412.0565,476.049,591.065,669.6175,698.53,705.347,688.694,678.931,672.323,655.5765,628.296,602.4145,585.93,569.1985,542.403,524.1415,513.2125,503.0555,488.755,466.1935,450.6515,435.1455,414.8325,396.48,385.048,375.483,362.28,346.4,337.1105,328.4645,312.3085,290.748,273.3665,260.8995,241.243,221.446,203.824,181.711,161.3595,145.21,130.327,117.182,102.586,83.594,66.785,54.807,44.7315,35.0545,27.0825,20.382,15.0405,11.478,8.337,5.694,3.925,2.578,1.596,0.971,0.587,0.3405,0.187,0.2025
Italy,1958,839.621,824.8595,819.695,814.5005,798.323,786.5725,790.349,810.715,837.1785,867.6695,883.969,872.488,793.3785,725.35,728.206,729.547,743.479,789.349,822.203,819.866,783.6425,745.4005,744.4975,753.0065,748.9725,742.996,753.593,778.3475,774.7125,758.4925,758.0015,758.2555,757.0245,756.98,755.5195,757.2285,747.6425,744.837,624.351,445.024,410.449,474.0765,588.148,666.5345,695.5965,702.2895,685.793,675.7065,668.8125,652.1375,624.5865,598.5725,581.8505,564.7785,537.9715,519.4255,508.399,497.976,483.103,460.258,444.362,428.4495,407.8235,389.3345,377.6255,367.407,353.535,337.392,327.3525,318.043,301.139,279.3415,261.4685,248.3065,228.536,208.451,190.5565,168.6635,148.2445,132.0405,117.12,104.1085,90.017,72.4895,57.06,46.001,36.895,28.3725,21.5255,15.9175,11.5315,8.6085,6.0655,4.06,2.729,1.743,1.053,0.6235,0.3665,0.207,0.2245
Italy,1959,851.5625,825.309,819.057,817.0765,812.151,796.706,786.186,789.9865,810.4935,836.7675,866.4945,881.8975,869.6425,790.585,722.9245,724.754,724.469,738.022,782.871,815.1475,812.854,775.443,736.654,735.382,744.198,740.8585,735.25,746.593,771.2515,767.919,752.9475,753.1805,753.828,752.9095,753.296,752.243,754.248,744.7785,741.935,622.2795,443.5355,408.864,472.042,585.223,663.2945,692.6495,699.066,682.786,672.3085,665.1725,648.5965,620.702,594.636,577.5735,560.187,533.3745,514.5955,503.3905,492.6355,477.405,454.036,437.891,421.5275,400.641,382.04,370.0545,359.11,344.8215,328.227,317.7085,307.565,290.1155,267.9695,249.7245,235.9205,215.798,195.566,177.7245,156.068,135.6505,119.3025,104.7385,91.867,78.4205,62.431,48.407,38.396,30.255,22.8315,16.999,12.3795,8.782,6.361,4.3965,2.8925,1.8925,1.1745,0.6915,0.3985,0.228,0.253
