Country,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
Italy,2024,386.303,396.3435,409.8415,414.7925,420.1105,435.4125,456.335,474.297,485.804,496.948,507.613,522.239,537.6765,550.284,563.2345,572.074,577.1785,580.795,584.3035,590.586,595.777,595.2115,600.1085,613.173,619.797,621.3725,621.0475,619.2475,619.965,621.372,628.591,650.689,667.8465,675.635,678.61,684.397,669.0525,653.6995,667.6085,681.9855,698.906,718.3805,742.4845,756.0295,769.299,795.047,827.1825,860.9765,895.948,926.434,940.379,945.9405,955.1485,957.554,953.073,963.864,969.9425,962.985,969.485,966.0485,941.1395,911.72,872.385,850.0275,832.0815,794.6745,757.9455,741.615,736.3325,706.1495,679.854,659.929,650.68,650.3155,653.352,655.372,643.96,609.233,544.0895,493.784,466.493,442.9135,442.3355,441.708,421.8635,393.7255,344.5445,297.1625,262.469,230.873,195.703,162.2075,136.1965,109.719,85.046,64.0755,46.2505,32.8895,22.536,14.9045,22.1465
Italy,2025,384.996,388.0555,398.0345,411.4075,416.2265,421.4245,436.6195,457.445,475.3165,486.7415,497.8115,508.41,522.975,538.3585,550.9555,564.229,574.3725,582.178,589.437,596.5085,605.2485,610.9565,608.723,610.3925,619.7435,623.039,622.0795,620.0515,617.229,617.4115,618.6045,625.8035,647.9905,665.299,673.27,676.434,682.4005,667.229,652.032,666.0625,680.5405,697.541,717.075,741.216,754.781,768.0445,793.7545,825.827,859.537,894.397,924.7425,938.5395,943.946,952.977,955.2005,950.52,961.0325,966.822,959.5975,965.748,961.961,936.7865,907.1215,867.571,844.8685,826.55,788.898,751.897,735.119,729.266,698.6915,671.8685,651.2805,641.1735,639.7525,641.5675,642.0125,629.3205,593.685,528.3545,477.483,448.842,423.667,420.246,416.352,393.9905,363.841,314.601,267.624,232.6965,201.234,167.5445,136.198,111.9195,87.999,66.3905,48.5565,33.942,23.335,15.4345,23.277
Italy,2026,382.029,386.3385,389.3695,399.2555,412.524,417.2495,422.366,437.4845,458.239,476.0455,487.412,498.43,508.981,523.503,538.886,551.807,566.361,579.149,590.518,601.261,610.7235,619.923,623.904,618.3905,616.308,622.309,623.0705,620.4275,617.4095,614.0935,614.107,615.325,622.661,645.0375,662.563,670.7545,674.1305,680.288,665.298,650.26,664.414,678.9925,696.073,715.6645,739.8335,753.4065,766.659,792.329,824.3355,857.9505,892.678,922.863,936.5005,941.7465,950.5915,952.609,947.702,957.924,963.4155,955.9025,961.672,957.527,932.0865,902.1425,862.345,839.3035,820.595,782.6625,745.3895,728.151,721.652,690.5965,663.19,641.912,630.919,628.3985,628.7505,627.711,613.5705,576.839,511.222,459.719,429.654,402.844,396.4725,389.232,364.448,332.569,283.647,237.542,203.074,172.496,140.8635,112.064,89.878,68.781,50.369,35.6795,24.1105,15.998,24.307
Italy,2027,379.5835,383.1035,387.4045,390.364,400.164,413.357,418.016,423.0695,438.1305,458.8315,476.5895,487.914,498.8925,509.4085,523.937,539.6425,553.828,570.986,587.28,602.0755,615.162,625.046,632.483,633.153,623.867,618.4285,621.9005,620.9935,617.384,613.8995,610.444,610.511,611.896,619.4525,642.069,659.834,668.255,671.841,678.1865,663.37,648.485,662.7535,677.426,694.5775,714.212,738.3915,751.962,765.199,790.8225,822.7485,856.2465,890.8195,920.825,934.295,939.37,948.0025,949.785,944.642,954.561,959.7285,951.898,957.275,952.7655,927.0205,896.761,856.7305,833.332,814.187,775.9725,738.4255,720.6575,713.402,681.8105,653.8005,631.814,619.902,616.0815,615.0035,612.292,596.468,558.453,492.5055,440.359,408.841,380.3725,370.976,360.4055,333.4515,300.1545,252.038,207.537,174.2815,145.2015,116.047,90.1005,70.3325,52.242,37.0495,25.3735,16.547,25.3055
Italy,2028,378.121,380.636,384.1465,388.377,391.253,400.9795,414.1065,418.704,423.702,438.711,459.3645,477.081,488.3665,499.3115,509.8345,524.685,541.65,558.427,579.0725,598.7745,615.9005,629.403,637.5285,641.6635,638.5715,625.943,617.9895,619.7985,617.931,613.859,610.2365,606.839,607.074,608.6845,616.4875,639.3435,657.336,665.9655,669.7425,676.2515,661.5885,646.837,661.2015,675.9495,693.1495,712.802,736.974,750.5315,763.74,789.3005,821.12,854.4745,888.87,918.685,931.972,936.8485,945.236,946.77,941.381,950.9685,955.779,947.6235,952.5975,947.676,921.5875,891.021,850.745,826.9455,807.3515,768.8515,730.973,712.5715,704.483,672.3385,643.7125,620.9955,607.9785,602.862,600.1695,595.5325,577.781,538.3415,472.08,419.329,386.3455,356.23,343.8275,330.102,301.262,266.993,220.456,178.322,146.8875,119.771,93.421,70.5925,53.4845,38.4705,26.3745,17.433,26.283
Italy,2029,376.655,379.2435,381.7405,385.1745,389.317,392.1145,401.7715,414.834,419.3725,424.3165,439.2765,459.8855,477.5615,488.8115,499.762,510.6065,526.715,546.269,566.531,590.5815,612.6135,630.163,641.924,646.772,647.1695,640.753,625.623,616.014,616.861,614.5255,610.3085,606.736,603.4995,603.954,605.804,613.8465,636.923,655.1165,663.9295,667.867,674.5145,659.9805,645.3415,659.781,674.5795,691.8,711.451,735.601,749.1315,762.2955,787.7655,819.4515,852.6415,886.846,916.451,929.526,934.1705,942.2985,943.573,937.911,947.134,951.577,943.0885,947.6095,942.227,915.8025,884.912,844.353,820.1415,800.0825,761.2385,722.9355,703.8335,694.871,662.164,632.906,609.275,595.1665,588.5765,584.0215,577.1885,557.3005,516.347,449.8445,396.551,362.1225,330.463,315.221,298.5545,268.255,233.7875,189.636,150.467,121.3085,96.533,73.282,53.743,39.4275,27.4135,18.1365,27.4755
Italy,2030,375.3945,377.6465,380.2255,382.6555,386.011,390.0835,392.82,402.42,415.429,419.9195,424.82,439.74,460.313,477.9565,489.2155,500.4865,512.5785,531.251,554.2545,577.8865,604.238,626.674,642.468,650.943,652.052,649.128,640.2165,623.4455,612.8905,613.2825,610.817,606.663,603.265,600.26,600.966,603.0685,611.347,634.6315,653.012,661.9905,666.075,672.8445,658.428,643.89,658.3855,673.213,690.441,710.082,734.2005,747.6905,760.7885,786.146,817.6815,850.6945,884.692,914.058,926.889,931.2905,939.147,940.135,934.174,943.0215,947.0865,938.222,942.238,936.396,909.617,878.358,837.515,812.8795,792.285,753,714.2215,694.3895,684.519,651.2375,621.1885,596.6795,581.3165,573.0185,566.3345,557.065,534.881,492.3815,425.7365,371.993,336.233,303.27,285.3915,266.151,235.1545,201.336,160.2085,124.4165,97.8945,75.8165,55.8595,39.663,28.126,18.87,28.6895
Italy,2031,374.7245,376.2205,378.474,380.999,383.3625,386.6595,390.6805,393.369,402.9235,415.891,420.3445,425.2115,440.101,460.6455,478.302,489.881,502.387,517.014,539.0945,565.4265,591.3265,618.0575,638.7195,651.215,655.945,653.7335,648.3215,637.781,620.0815,609.0925,609.372,606.987,603.0235,599.8715,597.1345,598.105,600.4575,608.9605,632.441,650.9935,660.1235,664.34,671.22,656.91,642.455,656.988,671.832,689.06,708.682,732.754,746.184,759.196,784.425,815.7995,848.62,882.3815,911.476,924.049,928.1965,935.755,936.43,930.1625,938.624,942.265,932.9765,936.487,930.1575,902.977,871.345,830.2135,805.0855,783.8425,744.0625,704.7985,684.213,673.397,639.4085,608.5895,583.055,566.221,555.961,546.9095,535.008,510.418,466.355,399.6995,345.7015,308.8625,274.861,254.696,233.593,202.749,170.296,132.6355,100.5265,76.983,57.862,41.274,28.3245,19.3795,29.936
Italy,2032,374.7835,375.685,377.169,379.358,381.807,384.104,387.3415,391.3075,393.9445,403.452,416.3775,420.7935,425.626,440.4845,461.039,479.0135,491.8285,506.874,524.916,550.333,578.941,605.237,630.222,647.6225,656.407,657.842,653.156,646.117,634.641,616.499,605.386,605.7315,603.521,599.7895,596.891,594.407,595.617,598.187,606.8845,630.5275,649.22,658.474,662.797,669.7635,655.532,641.1355,655.684,670.53,687.743,707.3255,731.327,744.6725,757.5795,782.6675,813.861,846.46,879.9505,908.7515,921.054,924.9205,932.1505,932.501,925.921,933.9475,937.111,927.404,930.375,923.502,895.9115,863.8945,822.4145,796.68,774.717,734.431,694.676,673.3095,661.369,626.671,594.94,568.179,549.6395,537.19,525.5735,510.889,483.794,438.186,371.764,317.843,280.2025,245.558,223.786,201.647,171.69,141.1535,107.297,79.1475,58.8235,42.803,29.507,19.5355,31.054
Italy,2033,375.3875,375.884,376.7595,378.1675,380.2715,382.645,384.8745,388.0495,391.958,394.543,404.0035,416.886,421.2635,426.0625,440.9275,461.7985,481.01,496.369,514.838,536.2255,563.9285,592.9495,617.529,639.2895,653.0135,658.5295,657.502,651.192,643.2105,631.2795,613.0005,601.9415,602.4455,600.4515,596.9585,594.3005,592.046,593.464,596.2215,605.0805,628.8555,647.6615,657.0125,661.42,668.445,654.267,639.9105,654.4605,669.294,686.472,705.9925,729.8985,743.1415,755.9325,780.863,811.8485,844.1915,877.3895,905.8835,917.8865,921.4415,928.3325,928.352,921.415,928.954,931.6415,921.4875,923.8615,916.427,888.414,855.9445,814.0105,787.603,764.892,724.095,683.8395,661.5065,648.4285,612.8805,580.043,551.841,531.3925,516.5685,502.236,484.6265,454.9605,407.939,342.137,288.644,250.6075,216.018,193.422,170.9905,142.4925,114.335,84.59,60.5555,43.5695,30.637,20.3755,31.8565
Italy,2034,376.4785,376.416,376.891,377.6955,379.0245,381.0565,383.3675,385.538,388.66,392.5195,395.06,404.48,417.3265,421.6725,426.4805,441.6615,463.7615,485.4965,504.2535,526.041,549.696,577.8005,605.102,626.4605,644.551,655.015,658.077,655.435,648.191,639.7625,627.701,609.485,598.595,599.32,597.5705,594.323,591.898,589.857,591.467,594.3925,603.3955,627.285,646.1865,655.6215,660.093,667.1565,653.0205,638.697,653.2385,668.0445,685.1695,704.6075,728.403,741.534,754.198,778.946,809.693,841.7625,874.654,902.8105,914.484,917.7205,924.264,923.908,916.569,923.62,925.8015,915.1505,916.9055,908.887,880.3805,847.344,804.901,777.7965,754.313,712.993,672.083,648.8005,634.4075,597.813,563.6615,533.837,511.315,493.975,476.78,456.13,423.937,375.793,311.017,258.427,220.7095,186.9365,164.222,142.104,115.5635,90.2505,64.7995,44.9055,31.223,21.1785,32.913
